number_constructor_NotDefaultConstructor_methods,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,NOPK_project,num_static_attributes,LOC_project,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOM_project,DIT_type,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOCS_type,NOI_package,TCC_type,number_static_methods,ATFD_type,WOC_type,NOM_type,number_final_not_static_methods,RFC_type,number_final_static_methods,number_protected_visibility_attributes,num_final_not_static_attributes,NOA_type,NOCS_package,NOII_type,LOC_package,LCOM5_type,number_protected_visibility_methods,number_standard_design_methods,NMO_type,FANOUT_type,num_final_attributes,AMW_type,number_private_visibility_methods,LOCNAMM_type,number_package_visibility_methods,number_private_visibility_attributes,number_package_visibility_attributes,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,number_final_methods,NOMNAMM_project,NIM_type,num_not_final_not_static_attributes,WMCNAMM_type,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
0,4,0,30,764,0,7,7,35,0,120720,79,7,0,0,4305,1,0,0,1.0,0,0,0.238095,0,0,0.428571,7,0,7,0,0,0,3,6,1,467,0.777778,0,3,1,0,0,1.285714,0,45,0,3,0,9,20,0,0,0,3256,0,3,3,0,0,16,3,True
1,4,1,30,764,0,5,5,35,0,120720,63,5,0,0,4305,1,0,0,1.0,0,0,0.0,0,0,0.2,5,0,5,0,0,0,4,14,0,1875,1.0,0,0,0,0,0,1.0,0,35,0,4,0,5,65,0,0,0,3256,0,4,1,0,0,40,1,False
1,10,1,30,764,0,11,11,35,0,120720,117,11,0,0,4305,1,0,0,1.0,0,0,0.111111,0,0,0.090909,11,0,11,0,0,0,5,29,1,5472,0.9,0,0,0,0,0,1.0,0,47,0,5,0,11,224,0,0,0,3256,0,5,1,0,0,75,1,True
0,9,0,30,764,46,25,26,35,4,120720,2396,30,22,5,4305,6,3,0,4.142857,6,2,0.073892,5,15,0.607143,30,0,93,0,0,0,14,29,0,7792,0.972906,3,21,0,25,1,3.4,1,2297,0,12,0,102,230,1,2,0,3256,129,10,87,22,0,163,21,True
1,6,1,30,764,0,7,7,35,0,120720,101,7,1,0,4305,1,0,0,1.0,0,2,0.0,0,0,0.142857,7,0,7,0,0,0,6,29,0,7792,1.0,0,0,0,0,0,1.0,0,53,0,6,0,7,230,0,0,0,3256,0,6,1,0,0,163,1,True
2,6,0,30,764,1,8,8,35,3,120720,48,8,1,0,4305,2,0,0,1.0,0,3,0.2,0,0,0.181818,8,0,14,0,0,0,6,52,1,7639,1.0,0,0,0,1,3,1.0,0,18,0,3,0,8,261,3,3,0,3256,5,3,2,2,0,239,2,False
0,0,0,30,764,14,0,5,35,1,120720,1217,7,2,7,4305,1,0,0,23.857143,0,3,0.3,7,17,1,7,0,38,0,0,0,1,52,0,7639,0.833333,0,7,0,2,1,23.857143,2,1217,0,1,0,167,261,1,0,0,3256,0,0,167,0,0,239,7,False
2,10,1,30,764,0,12,12,35,0,120720,125,12,0,0,4305,1,0,0,1.0,0,0,0.111111,0,0,0.166667,12,0,12,0,0,0,5,12,1,1908,0.909091,0,0,0,0,0,1.0,0,55,0,5,0,12,62,0,0,0,3256,0,5,2,0,0,40,2,False
1,6,1,30,764,0,7,7,35,0,120720,91,7,0,0,4305,1,0,0,1.0,0,0,0.0,0,0,0.142857,7,0,7,0,0,0,6,12,0,1908,1.0,0,0,0,0,0,1.0,0,49,0,6,0,7,62,0,0,0,3256,0,6,1,0,0,40,1,True
1,0,0,30,764,61,9,3,35,1,120720,2412,9,16,0,4305,2,1,0,24.111111,1,0,0.333333,0,28,1,9,0,85,0,0,0,7,10,0,3195,0.928571,1,8,0,13,0,24.111111,4,2412,1,7,0,217,67,0,0,0,3256,8,6,217,0,0,52,9,True
2,6,1,30,764,0,8,8,35,0,120720,81,8,0,0,4305,1,0,0,1.0,0,0,0.2,0,0,0.25,8,0,8,0,0,0,3,20,1,2505,0.857143,0,0,0,0,0,1.0,0,39,0,3,0,8,75,0,0,0,3256,0,3,2,0,0,63,2,True
1,23,0,30,764,71,87,86,35,8,120720,1494,93,38,6,4305,1,8,0,3.628571,7,2,0.347339,6,27,0.744186,93,0,202,0,0,0,33,17,0,4016,0.961792,0,69,0,35,0,3.107527,7,1324,0,33,0,289,326,0,0,0,3256,0,25,254,0,0,203,70,True
0,0,0,30,764,23,3,4,35,2,120720,5126,7,25,4,4305,7,1,0,25.857143,11,0,0.0,4,34,0.8,7,0,134,0,0,0,9,33,0,6189,1.0,0,7,1,9,1,25.857143,3,5126,0,8,0,181,111,1,1,0,3256,158,7,181,0,0,103,7,True
0,0,0,30,764,25,3,4,35,2,120720,5349,8,25,5,4305,7,1,0,23.125,11,0,0.0,5,34,0.8,8,0,134,0,0,0,9,41,0,6405,1.0,0,8,1,11,1,23.125,4,5349,0,8,0,185,121,1,1,0,3256,158,7,185,0,0,113,8,True
