CDISP_method,ATLD_method,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,NOPK_project,LCOM5_type,LOC_project,MaMCL_method,isStatic_method,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOP_method,FDP_method,NOM_project,DIT_type,number_protected_visibility_methods,LAA_method,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOMNAMM_project,LOC_package,NIM_type,NOI_package,TCC_type,number_static_methods,NOAV_method,WOC_type,NOM_type,number_package_visibility_methods,number_final_not_static_methods,RFC_type,number_final_static_methods,MAXNESTING_method,number_protected_visibility_attributes,NOA_type,NOCS_package,NOII_type,ATFD_method,ATFD_type,num_final_not_static_attributes,number_private_visibility_attributes,number_standard_design_methods,NMO_type,CFNAMM_method,NMCS_method,FANOUT_method,num_final_attributes,AMW_type,CINT_method,number_private_visibility_methods,CM_method,LOCNAMM_type,CC_method,CLNAMM_method,NOLV_method,number_package_visibility_attributes,CYCLO_method,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,num_static_attributes,FANOUT_type,NOCS_type,LOC_method,num_not_final_not_static_attributes,WMCNAMM_type,MeMCL_method,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
0.5,3,3,0,38,497,4,5,5,1,0,24,1.0,117757,0,0,68,5,15,0,1,1,5768,3,0,0.333333,0,0,2.5,4374,453,43,0,0.0,0,10,0.222222,5,0,0,54,0,1,0,4,6,0,6,3,0,0,1,0,2,0,1,4,1.6,2,0,1,40,1,0,1,0,4,8,35,4,4,4,2,0,16,0,5,0,0,0,20,2,False
1.0,0,3,0,38,497,4,5,5,1,0,24,1.0,117757,0,0,68,5,15,0,1,1,5768,3,0,0.0,0,0,2.5,4374,453,43,0,0.0,0,2,0.222222,5,0,0,54,0,1,0,4,6,0,1,3,0,0,1,0,2,0,2,4,1.6,2,0,0,40,0,0,1,0,1,8,35,4,4,4,2,0,3,0,5,0,0,0,20,2,False
1.0,0,3,0,38,497,4,5,5,1,0,24,1.0,117757,0,0,68,5,15,0,1,1,5768,3,0,0.0,0,0,2.5,4374,453,43,0,0.0,0,2,0.222222,5,0,0,54,0,1,0,4,6,0,1,3,0,0,1,0,1,0,1,4,1.6,1,0,0,40,0,0,1,0,1,8,35,4,4,4,2,0,3,0,5,0,0,0,20,2,False
1.0,0,3,0,38,497,4,5,5,1,0,24,1.0,117757,0,0,68,5,15,0,0,1,5768,3,0,0.0,0,0,2.5,4374,453,43,0,0.0,0,1,0.222222,5,0,0,54,0,1,0,4,6,0,1,3,0,0,1,0,1,0,1,4,1.6,1,0,0,40,0,0,0,0,1,8,35,4,4,4,2,0,3,0,5,0,0,0,20,2,False
0.333333,1,0,0,38,497,29,1,4,1,0,24,1.0,117757,0,1,531,22,16,21,4,3,5768,1,0,0.090909,0,0,4.363636,4374,3513,0,0,0.175,21,26,1,22,12,0,77,0,3,0,2,24,0,10,26,0,1,21,0,9,0,6,2,4.363636,18,6,1,531,1,9,13,1,8,96,212,2,0,2,13,0,57,0,96,0,0,0,154,22,True
0.428571,3,0,0,38,497,9,9,3,1,0,24,1.0,117757,0,0,442,10,3,1,1,1,5768,1,0,0.428571,0,0,8.0,4374,608,0,0,1.0,1,30,1,10,0,0,21,0,8,0,6,5,0,2,2,0,6,9,0,5,0,3,5,8.0,7,7,1,442,1,4,21,0,16,80,24,5,0,5,5,2,103,1,80,0,0,0,21,10,False
0.6,1,2,0,38,497,15,5,13,1,0,24,0.961538,117757,0,0,341,14,16,9,1,4,5768,1,0,0.083333,1,0,7.166667,4374,1328,0,3,0.090909,9,20,0.785714,14,0,0,37,0,3,0,2,7,0,11,34,0,1,11,0,5,0,3,0,6.285714,5,1,0,331,0,0,8,0,12,88,72,0,1,1,11,0,33,1,86,0,0,0,62,12,True
1.0,13,1,0,38,497,1,14,6,1,0,24,0.840136,117757,0,0,1458,15,1,1,5,0,5768,1,0,1.0,9,0,7.785714,4374,11055,0,0,1.0,1,44,1,15,0,0,16,0,6,0,21,33,0,0,0,0,14,13,0,1,0,1,0,7.666667,1,9,1,1421,1,7,21,9,11,115,293,0,0,9,1,0,150,14,109,0,0,0,277,14,False
1.0,11,1,0,38,497,1,14,6,1,0,24,0.840136,117757,0,0,1458,15,1,1,5,0,5768,1,0,1.0,9,0,7.785714,4374,11055,0,0,1.0,1,45,1,15,0,0,16,0,8,0,21,33,0,0,0,0,14,13,0,1,0,1,0,7.666667,1,9,1,1421,1,5,24,9,23,115,293,0,0,9,1,0,217,14,109,0,0,0,277,14,False
0.207792,2,25,0,38,497,227,76,18,1,0,24,0.961088,117757,0,0,2345,76,65,0,5,10,5768,2,11,0.04878,0,0,7.117647,4374,73431,35,11,0.405045,0,149,0.722222,76,47,0,420,0,6,45,49,245,0,35,163,0,1,50,10,55,0,16,2,5.171053,77,0,1,2147,1,4,74,3,101,393,3557,2,0,2,60,4,345,47,363,0,0,0,2644,51,True
0.377778,5,50,0,38,497,119,170,158,1,1,24,0.950944,117757,0,0,3107,174,54,4,8,4,5768,1,1,0.294118,1,0,2.44,4374,73431,0,11,0.610066,4,54,0.617143,175,10,1,348,0,7,7,28,245,0,12,80,0,4,124,1,40,0,17,18,2.194286,45,6,1,2282,1,9,33,0,26,384,3557,18,17,19,44,1,115,9,305,0,4,0,2644,125,True
