number_constructor_NotDefaultConstructor_methods,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,NOPK_project,num_static_attributes,LOC_project,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOM_project,DIT_type,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOCS_type,NOI_package,TCC_type,number_static_methods,ATFD_type,WOC_type,NOM_type,number_final_not_static_methods,RFC_type,number_final_static_methods,number_protected_visibility_attributes,num_final_not_static_attributes,NOA_type,NOCS_package,NOII_type,LOC_package,LCOM5_type,number_protected_visibility_methods,number_standard_design_methods,NMO_type,FANOUT_type,num_final_attributes,AMW_type,number_private_visibility_methods,LOCNAMM_type,number_package_visibility_methods,number_private_visibility_attributes,number_package_visibility_attributes,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,number_final_methods,NOMNAMM_project,NIM_type,num_not_final_not_static_attributes,WMCNAMM_type,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
0,0,0,0,60,0,2,2,2,1,2453,18,2,5,0,254,3,1,0,2.0,0,0,1.0,0,0,0.333333,2,0,48,0,0,0,4,20,0,701,0.5,0,2,2,0,0,2.0,0,18,0,0,0,4,72,0,4,0,243,30,3,4,0,0,72,2,False
0,0,0,0,60,2,7,4,2,0,2453,34,7,5,0,254,3,0,0,1.0,0,0,1.0,0,2,0.571429,7,0,57,0,0,0,3,20,0,701,1.0,0,7,0,1,0,1.0,3,34,0,0,0,7,72,0,3,0,243,32,3,7,0,0,72,7,False
0,0,0,0,60,0,1,1,2,0,2453,4,1,5,0,254,3,0,0,1.0,0,0,1.0,0,0,0.333333,1,0,49,0,0,0,2,20,0,701,0.0,0,1,0,0,0,1.0,0,4,0,0,0,1,72,0,2,0,243,32,2,1,0,0,72,1,False
0,0,0,0,60,3,4,1,2,0,2453,35,4,5,0,254,3,0,0,2.0,0,0,1.0,0,0,0.5,4,0,53,0,0,0,1,20,0,701,1.0,0,4,0,2,0,2.0,3,35,0,0,0,8,72,0,1,0,243,32,1,8,0,0,72,4,False
0,0,0,0,60,3,2,2,2,1,2453,16,3,5,1,254,2,1,1,1.5,0,0,0.0,1,4,0.5,2,0,41,0,0,0,1,20,0,701,1.0,0,2,1,2,0,1.5,0,16,1,0,0,3,72,0,1,0,243,25,0,3,0,0,72,2,False
0,0,0,0,60,10,4,3,2,0,2453,43,4,6,0,254,3,0,0,2.75,0,0,1.0,0,1,0.5,4,0,53,0,0,0,3,20,0,701,1.0,0,4,1,3,0,2.75,1,43,0,0,0,11,72,0,3,0,243,31,3,11,0,0,72,4,False
1,0,0,0,60,0,4,4,2,0,2453,26,4,0,0,254,1,0,0,1.75,0,0,1.0,0,0,1,4,0,4,0,0,0,1,20,0,701,0.333333,0,3,2,0,0,1.75,0,26,0,0,1,7,72,0,0,0,243,0,1,7,0,0,72,4,False
0,0,0,0,60,2,3,2,2,0,2453,24,3,5,0,254,3,0,0,1.333333,0,0,1.0,0,0,0.666667,3,0,52,0,0,0,1,20,0,701,1.0,0,3,0,1,0,1.333333,1,24,0,0,0,4,72,0,1,0,243,32,1,4,0,0,72,3,False
0,0,0,0,60,0,0,0,2,0,2453,2,0,0,0,254,1,0,0,0.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,20,0,701,0.0,0,0,0,0,0,0.0,0,2,0,0,0,0,72,0,0,0,243,0,0,0,0,0,72,0,False
0,0,0,0,60,5,7,4,2,0,2453,44,7,7,0,254,3,0,1,2.333333,0,0,0.2,0,5,1,6,0,52,0,0,0,1,20,0,701,0.6,0,6,3,3,0,2.333333,0,44,3,0,1,14,72,0,0,0,243,30,1,14,0,0,72,6,False
