number_constructor_NotDefaultConstructor_methods,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,NOPK_project,num_static_attributes,LOC_project,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOM_project,DIT_type,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOCS_type,NOI_package,TCC_type,number_static_methods,ATFD_type,WOC_type,NOM_type,number_final_not_static_methods,RFC_type,number_final_static_methods,number_protected_visibility_attributes,num_final_not_static_attributes,NOA_type,NOCS_package,NOII_type,LOC_package,LCOM5_type,number_protected_visibility_methods,number_standard_design_methods,NMO_type,FANOUT_type,num_final_attributes,AMW_type,number_private_visibility_methods,LOCNAMM_type,number_package_visibility_methods,number_private_visibility_attributes,number_package_visibility_attributes,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,number_final_methods,NOMNAMM_project,NIM_type,num_not_final_not_static_attributes,WMCNAMM_type,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
2,6,0,38,497,4,8,8,24,0,117757,85,8,13,0,5768,3,0,0,2.0,0,0,0.0,0,4,0.25,8,0,58,0,0,0,0,6,0,453,0.0,0,0,0,3,0,1.25,0,21,0,0,0,10,35,0,0,0,4374,43,0,4,0,0,20,2,False
1,20,0,38,497,2,24,25,24,1,117757,214,25,3,1,5768,1,0,0,1.6,0,0,0.202899,1,2,0.192308,25,0,29,0,0,0,11,24,0,3513,0.882576,0,4,1,1,1,1.12,0,114,0,10,0,28,212,1,1,0,4374,0,10,8,0,0,154,5,False
1,6,0,38,497,2,7,7,24,0,117757,77,7,15,0,5768,3,0,0,1.0,0,0,0.0,0,6,0.142857,7,0,55,0,0,0,0,13,0,738,0.0,0,0,0,1,0,1.0,0,3,0,0,0,7,62,0,0,0,4374,43,0,1,0,0,23,1,False
1,6,0,38,497,2,7,7,24,0,117757,76,7,14,0,5768,3,0,0,1.0,0,0,0.0,0,6,0.142857,7,0,55,0,0,0,0,13,0,738,0.0,0,0,0,1,0,1.0,0,3,0,0,0,7,62,0,0,0,4374,43,0,1,0,0,23,1,False
2,54,0,38,497,49,89,102,24,25,117757,1950,105,38,16,5768,2,1,0,3.960784,0,8,0.04601,16,14,0,105,0,154,0,34,0,65,42,0,13290,0.993047,2,49,0,27,24,2.504762,1,1339,0,6,1,263,817,24,24,0,4374,0,40,202,7,0,592,51,True
1,0,0,38,497,1,1,1,24,15,117757,38,1,3,0,5768,5,0,0,1.0,0,0,1.0,0,0,0.066667,1,0,12,0,0,0,15,10,0,916,0.0,0,0,0,1,15,1.0,0,38,0,1,0,1,55,15,14,0,4374,63,0,1,0,0,53,1,False
2,9,0,38,497,1,12,12,24,0,117757,147,12,2,0,5768,1,0,0,1.0,0,4,0.0,0,0,0.25,12,0,13,0,0,0,10,54,0,2936,1.0,0,1,0,1,0,1.0,0,57,0,0,10,12,197,0,0,0,4374,0,10,3,0,0,179,3,False
1,37,0,38,497,56,57,56,24,16,117757,1562,63,23,6,5768,1,0,0,8.307692,0,11,0.311475,6,63,0.289855,63,0,168,0,32,0,55,245,0,73431,0.959531,6,25,0,20,16,4.174603,1,1079,0,10,0,263,3557,16,13,0,4374,0,39,216,0,0,2644,26,True
1,18,0,38,497,178,62,18,24,0,117757,1635,64,93,2,5768,3,0,0,7.282609,1,11,0.330216,2,126,0.444444,64,0,555,0,14,0,22,245,0,73431,0.955267,4,45,17,50,0,5.8125,4,1395,38,1,7,372,3557,0,0,0,4374,154,22,335,0,0,2644,46,True
1,25,0,38,497,227,76,18,24,2,117757,2345,76,65,0,5768,2,0,0,7.117647,4,11,0.405045,0,163,0.722222,76,0,420,0,45,0,49,245,0,73431,0.961088,11,50,10,60,2,5.171053,0,2147,47,1,3,393,3557,2,0,0,4374,35,47,363,0,0,2644,51,True
2,8,0,38,497,47,40,12,24,1,117757,1513,42,29,2,5768,2,0,0,7.352941,3,11,0.356275,2,26,0.5,42,0,167,0,27,0,28,245,0,73431,0.924216,14,32,1,20,1,6.5,1,1371,15,0,1,273,3557,1,0,0,4374,67,27,250,2,0,2644,34,True
12,19,0,38,497,133,114,101,24,4,117757,3585,138,39,24,5768,1,1,0,5.858333,1,11,0.468492,24,169,0.833333,139,1,302,0,28,0,46,245,1,73431,0.977158,21,108,0,35,3,5.338129,9,3336,8,13,4,742,3557,3,1,1,4374,0,42,703,1,0,2644,120,True
