number_constructor_NotDefaultConstructor_methods,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,NOPK_project,num_static_attributes,LOC_project,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOM_project,DIT_type,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOCS_type,NOI_package,TCC_type,number_static_methods,ATFD_type,WOC_type,NOM_type,number_final_not_static_methods,RFC_type,number_final_static_methods,number_protected_visibility_attributes,num_final_not_static_attributes,NOA_type,NOCS_package,NOII_type,LOC_package,LCOM5_type,number_protected_visibility_methods,number_standard_design_methods,NMO_type,FANOUT_type,num_final_attributes,AMW_type,number_private_visibility_methods,LOCNAMM_type,number_package_visibility_methods,number_private_visibility_attributes,number_package_visibility_attributes,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,number_final_methods,NOMNAMM_project,NIM_type,num_not_final_not_static_attributes,WMCNAMM_type,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
0,0,0,65,606,2,2,2,85,0,69698,14,2,5,0,5527,1,0,0,1.0,0,3,0.0,0,3,1,2,0,6,0,0,0,0,3,1,608,0.0,0,2,0,2,0,1.0,0,14,0,0,0,2,50,0,0,0,2783,0,0,2,0,0,40,2,False
1,6,0,65,606,4,10,10,85,0,69698,78,10,7,0,5527,2,0,0,1.0,0,0,0.166667,0,2,0.4,10,0,20,0,0,0,4,2,0,145,0.861111,0,3,0,4,0,1.0,0,33,0,4,0,10,14,0,0,0,2783,4,4,4,0,0,8,4,False
1,22,0,65,606,0,23,17,85,2,69698,292,23,0,0,5527,1,0,0,1.0,0,0,0.044118,0,0,0,23,0,23,0,0,0,13,2,0,475,0.968531,1,0,0,0,2,1.0,5,69,0,11,0,23,43,2,2,0,2783,0,11,1,0,0,5,1,False
0,22,0,65,606,0,23,23,85,1,69698,224,23,0,0,5527,1,0,1,0.0,0,0,0.047619,0,0,0,22,0,22,0,0,0,12,1,0,224,0.960317,0,0,0,0,1,1.0,0,8,0,11,0,22,22,1,1,0,2783,0,11,0,0,0,0,0,False
0,10,0,65,606,0,11,11,85,3,69698,89,11,0,0,5527,1,0,1,0.0,0,0,0.111111,0,0,0,10,0,10,0,0,0,8,9,0,1119,0.972222,0,0,0,0,3,1.0,0,9,0,5,0,10,136,3,3,0,2783,0,5,0,0,0,10,0,False
1,14,0,65,606,0,15,15,85,4,69698,115,15,0,0,5527,1,0,0,1.0,0,0,0.076923,0,0,0.052632,15,0,15,0,0,0,11,9,0,1119,0.980519,0,0,0,0,4,1.0,0,3,0,7,0,15,136,4,4,0,2783,0,7,1,0,0,10,1,False
0,8,0,65,606,0,9,9,85,2,69698,70,9,0,0,5527,1,0,1,0.0,0,0,0.142857,0,0,0,8,0,8,0,0,0,6,9,0,1119,0.952381,0,0,0,0,2,1.0,0,6,0,4,0,8,136,2,2,0,2783,0,4,0,0,0,10,0,False
0,17,0,65,606,103,74,70,85,1,69698,1890,75,43,1,5527,1,1,0,4.913793,1,2,0.402899,1,110,0.757143,75,0,264,0,0,0,15,6,1,2701,0.926126,0,58,0,38,0,4.026667,5,1767,0,15,0,302,156,0,0,0,2783,0,14,285,0,0,126,58,True
1,18,0,65,606,96,82,68,85,0,69698,1817,82,48,0,5527,1,0,0,4.421875,0,4,0.41396,0,90,0.735294,82,0,249,0,0,0,19,3,1,2443,0.905783,1,63,0,39,0,3.682927,13,1678,0,19,0,302,144,0,0,0,2783,0,19,283,0,0,126,64,True
2,12,0,54,465,5,26,26,22,29,171667,1055,35,2,9,7652,1,1,0,6.1,0,1,0.224638,9,10,0.368421,42,7,47,0,0,0,54,3,1,1190,0.978771,0,28,0,2,28,4.642857,16,986,0,42,0,195,56,28,12,7,6749,0,25,183,0,0,44,30,True
1,0,0,54,465,36,36,42,22,0,171667,1527,43,37,7,7652,3,0,0,7.488372,0,3,0.063879,7,47,0.976744,43,0,183,0,0,1,1,28,0,12014,0.833333,0,42,10,10,1,7.488372,0,1527,1,0,0,322,710,0,1,0,6749,87,0,322,0,0,660,43,True
1,0,0,54,465,90,10,0,22,0,171667,1147,11,77,1,7652,3,0,0,14.636364,0,12,0.0,1,89,0,11,0,427,0,0,0,0,106,0,69768,0.0,0,10,0,30,0,14.636364,2,1147,9,0,0,161,2620,0,0,0,6749,183,0,161,1,0,2196,11,True
2,10,0,54,465,152,66,23,22,1,171667,2216,67,56,1,7652,2,0,0,7.035088,0,12,0.414966,1,100,0.484848,67,0,268,0,0,0,36,106,0,69768,0.919613,0,55,28,38,1,6.298507,16,2100,28,19,7,422,2620,1,10,0,6749,20,35,401,0,0,2196,57,True
7,1,0,54,465,63,35,6,22,0,171667,1836,37,56,2,7652,2,0,0,12.916667,0,12,0.005848,2,68,0.833333,37,0,219,0,0,0,2,106,0,69768,1.0,1,29,7,19,0,12.648649,11,1825,19,0,2,468,2620,0,0,0,6749,71,2,465,1,0,2196,36,True
1,1,0,54,465,69,6,8,22,67,171667,2084,10,68,4,7652,3,0,0,56.0,0,12,0.277778,4,181,0.583333,10,0,237,0,0,0,70,106,0,69768,0.844444,0,8,5,28,67,50.8,1,2043,1,64,2,508,2620,67,4,0,6749,79,3,504,0,0,2196,9,True
1,0,0,54,465,193,84,0,22,3,171667,4973,86,108,2,7652,5,0,0,8.081395,0,12,0.005445,2,332,0,86,0,755,0,0,0,3,106,0,69768,0.968627,0,85,1,50,3,8.081395,27,4973,59,0,3,695,2620,3,0,0,6749,220,0,695,1,0,2196,86,True
