number_constructor_NotDefaultConstructor_methods,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,NOPK_project,num_static_attributes,LOC_project,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOM_project,DIT_type,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOCS_type,NOI_package,TCC_type,number_static_methods,ATFD_type,WOC_type,NOM_type,number_final_not_static_methods,RFC_type,number_final_static_methods,number_protected_visibility_attributes,num_final_not_static_attributes,NOA_type,NOCS_package,NOII_type,LOC_package,LCOM5_type,number_protected_visibility_methods,number_standard_design_methods,NMO_type,FANOUT_type,num_final_attributes,AMW_type,number_private_visibility_methods,LOCNAMM_type,number_package_visibility_methods,number_private_visibility_attributes,number_package_visibility_attributes,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,number_final_methods,NOMNAMM_project,NIM_type,num_not_final_not_static_attributes,WMCNAMM_type,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
2,5,0,66,1171,9,23,22,42,2,312068,510,23,10,0,10384,1,1,0,2.111111,0,6,0.785714,0,8,0.73913,23,0,38,0,0,0,7,16,1,7166,0.779221,1,16,1,7,1,1.869565,0,440,0,2,4,43,371,1,1,0,8750,0,5,38,1,0,299,18,True
3,0,0,66,1171,0,3,3,42,3,312068,38,3,1,0,10384,1,0,0,1.0,0,4,1.0,0,0,0.272727,3,0,3,0,0,5,8,7,0,1194,1.0,0,0,0,0,8,1.0,0,38,0,0,0,3,47,3,8,0,8750,0,0,3,0,0,47,3,False
1,0,0,66,1171,0,1,1,42,0,312068,57,1,4,0,10384,1,0,0,1.0,0,4,1.0,0,0,0.142857,1,0,1,0,0,6,6,7,1,1194,0.0,0,0,0,0,6,1.0,0,57,0,0,0,1,47,0,6,0,8750,0,0,1,1,0,47,1,False
2,2,0,66,1171,39,19,15,42,19,312068,1032,20,31,1,10384,3,0,0,5.96,1,4,0.490476,4,26,0.933333,27,4,162,3,14,1,31,138,0,27590,0.954094,5,23,5,17,20,5.666667,4,1014,3,16,1,153,1151,19,0,7,8750,64,11,149,24,0,961,25,True
1,6,0,66,1171,0,7,0,42,0,312068,106,7,1,0,10384,1,0,0,1.0,0,5,0.0,0,0,0,7,0,7,0,0,0,6,66,0,10542,1.0,0,0,0,0,0,1.0,0,53,7,6,0,7,826,0,0,0,8750,0,6,1,0,0,754,1,False
1,8,0,66,1171,0,9,8,42,0,312068,118,9,0,0,10384,1,0,0,1.0,0,0,0.142857,0,0,0,9,0,9,0,0,0,4,13,1,4557,0.875,0,0,0,0,0,1.0,0,6,1,4,0,9,116,0,0,0,8750,0,4,1,0,0,84,1,False
5,6,0,66,1171,0,11,6,42,0,312068,142,11,0,0,10384,1,0,0,1.0,0,0,0.0,0,0,0,11,0,11,0,0,6,6,13,1,4557,1.0,0,0,0,0,6,1.0,0,92,5,6,0,11,116,0,0,0,8750,0,0,5,0,0,84,5,False
1,16,0,66,1171,62,79,50,42,3,312068,3547,81,21,2,10384,2,0,0,4.686567,2,12,0.392888,2,26,0,83,2,155,0,12,0,22,49,0,19441,0.953437,13,66,0,18,3,4.951807,14,2997,6,5,5,411,882,3,0,2,8750,0,19,314,3,0,726,67,True
1,2,0,66,1171,23,16,10,42,24,312068,1052,17,24,1,10384,5,0,0,6.0,0,2,0.346154,1,20,0.9,17,0,240,0,0,0,65,24,0,6943,0.936538,4,14,5,12,24,5.411765,3,1031,0,65,0,92,292,24,0,0,8750,125,41,90,0,0,244,15,True
1,2,0,66,1171,35,36,30,42,3,312068,1699,39,25,3,10384,4,0,0,6.108108,1,1,0.334454,3,12,0.933333,39,0,220,0,1,0,11,2,0,2325,0.966507,6,36,2,16,3,5.846154,3,1676,0,5,5,228,89,3,0,0,8750,92,8,226,0,0,75,37,True
2,8,0,66,1171,0,10,10,42,1,312068,182,10,0,0,10384,1,0,0,1.0,0,5,0.142857,0,0,0.2,10,0,10,0,0,0,5,66,2,19469,0.933333,0,0,0,0,1,1.0,0,78,0,4,1,10,800,1,0,0,8750,0,4,2,0,0,694,2,False
2,11,0,66,1171,17,44,43,42,0,312068,1404,44,12,0,10384,2,0,0,3.558824,0,3,0.44367,0,13,0.744186,45,1,69,0,0,0,15,28,2,9478,0.913636,1,32,1,10,0,3.133333,1,1157,0,12,3,141,319,0,0,1,8750,12,15,121,0,0,229,34,True
