number_constructor_NotDefaultConstructor_methods,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,NOPK_project,num_static_attributes,LOC_project,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOM_project,DIT_type,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOCS_type,NOI_package,TCC_type,number_static_methods,ATFD_type,WOC_type,NOM_type,number_final_not_static_methods,RFC_type,number_final_static_methods,number_protected_visibility_attributes,num_final_not_static_attributes,NOA_type,NOCS_package,NOII_type,LOC_package,LCOM5_type,number_protected_visibility_methods,number_standard_design_methods,NMO_type,FANOUT_type,num_final_attributes,AMW_type,number_private_visibility_methods,LOCNAMM_type,number_package_visibility_methods,number_private_visibility_attributes,number_package_visibility_attributes,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,number_final_methods,NOMNAMM_project,NIM_type,num_not_final_not_static_attributes,WMCNAMM_type,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
2,9,0,155,789,55,41,36,40,33,188289,3148,49,28,8,9246,1,3,0,7.651163,10,5,0.283391,9,37,0.717949,52,2,125,1,39,7,65,39,2,17417,0.970739,3,41,0,32,37,6.903846,8,2982,5,23,0,359,425,30,3,3,7348,0,25,329,0,0,360,43,True
1,0,1,155,789,0,1,0,40,10,188289,43,1,0,0,9246,1,0,0,1.0,0,5,1.0,0,0,0,1,0,1,0,0,3,13,39,0,17417,0.0,0,0,0,0,13,1.0,1,43,0,0,0,1,425,10,13,0,7348,0,0,1,0,0,360,1,False
1,7,0,155,789,65,31,15,40,21,188289,1801,31,24,0,9246,2,0,0,6.346154,3,5,0.301075,0,32,0.666667,33,2,145,0,34,12,47,39,3,17417,0.956782,17,25,6,18,33,5.515152,1,1668,0,13,0,182,425,21,0,2,7348,23,14,165,1,0,360,26,True
0,2,0,155,789,42,30,7,40,16,188289,1421,30,15,0,9246,1,0,0,8.25,0,5,0.283251,0,20,0,30,0,75,0,29,5,33,39,1,17417,0.951933,22,28,0,9,21,8.066667,1,1380,0,4,0,242,425,16,0,0,7348,0,12,231,2,0,360,28,True
1,10,0,155,789,82,52,46,40,14,188289,1662,53,25,1,9246,1,0,0,5.046512,0,2,0.477891,1,46,0.782609,53,0,138,0,25,4,40,19,3,8367,0.951442,4,42,0,12,18,4.283019,3,1562,0,15,0,227,299,14,0,0,7348,0,22,217,1,0,244,43,True
1,7,0,155,789,66,46,31,40,18,188289,2030,46,37,0,9246,1,0,0,6.047619,0,2,0.404878,0,70,0.806452,49,3,130,0,38,7,66,19,4,8367,0.958965,10,41,0,27,25,5.326531,7,1961,1,28,0,261,299,18,0,3,7348,0,41,254,2,0,244,42,True
1,8,0,155,789,0,9,9,40,0,188289,118,9,0,0,9246,1,0,0,1.0,0,1,0.142857,0,0,0.111111,9,0,9,0,4,0,4,84,1,26974,0.875,0,0,0,0,0,1.0,0,6,0,0,0,9,1159,0,0,0,7348,0,4,1,0,0,888,1,False
5,16,0,155,789,0,21,21,40,0,188289,335,21,0,0,9246,1,0,0,1.0,0,1,0.066667,0,0,0.238095,21,0,21,0,8,0,8,84,1,26974,0.95,0,0,0,0,0,1.0,0,121,0,0,0,21,1159,0,0,0,7348,0,8,5,0,0,888,5,False
4,4,0,155,789,31,60,12,40,1,188289,1399,60,43,0,9246,5,0,0,3.678571,2,1,0.337979,0,23,1,60,0,348,0,6,0,8,84,3,26974,0.915254,11,52,26,15,1,3.583333,14,1339,23,0,2,215,1159,1,0,0,7348,181,7,206,4,0,888,56,True
5,6,0,155,789,0,11,11,40,0,188289,127,11,0,0,9246,1,0,0,1.0,0,1,0.0,0,0,0.294118,11,0,11,0,0,0,6,84,1,26974,1.0,0,0,0,0,0,1.0,0,77,0,0,0,11,1159,0,6,0,7348,0,6,5,0,0,888,5,False
4,12,0,155,789,3,16,16,40,0,188289,214,16,1,0,9246,1,0,0,1.0,0,14,0.090909,0,0,0.25,16,0,19,0,6,0,6,3,0,1026,0.933333,0,0,0,1,0,1.0,0,108,0,0,0,16,76,0,0,0,7348,0,6,4,5,0,39,4,False
2,6,0,155,789,161,119,10,40,40,188289,4156,119,84,0,9246,1,0,0,6.324561,3,0,0.4,0,142,0.466667,120,1,345,0,20,0,120,29,0,11366,0.983053,13,112,0,68,40,6.075,78,4115,19,62,33,729,285,40,5,1,7348,0,80,721,0,0,275,114,True
