CDISP_method,ATLD_method,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,NOPK_project,LCOM5_type,LOC_project,MaMCL_method,isStatic_method,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOP_method,FDP_method,NOM_project,DIT_type,number_protected_visibility_methods,LAA_method,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOMNAMM_project,LOC_package,NIM_type,NOI_package,TCC_type,number_static_methods,NOAV_method,WOC_type,NOM_type,number_package_visibility_methods,number_final_not_static_methods,RFC_type,number_final_static_methods,MAXNESTING_method,number_protected_visibility_attributes,NOA_type,NOCS_package,NOII_type,ATFD_method,ATFD_type,num_final_not_static_attributes,number_private_visibility_attributes,number_standard_design_methods,NMO_type,CFNAMM_method,NMCS_method,FANOUT_method,num_final_attributes,AMW_type,CINT_method,number_private_visibility_methods,CM_method,LOCNAMM_type,CC_method,CLNAMM_method,NOLV_method,number_package_visibility_attributes,CYCLO_method,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,num_static_attributes,FANOUT_type,NOCS_type,LOC_method,num_not_final_not_static_attributes,WMCNAMM_type,MeMCL_method,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
1.0,4,5,0,54,465,23,18,15,2,0,22,0.901176,171667,0,1,444,26,10,8,1,0,7652,1,0,1.0,0,0,3.047619,6749,3186,0,2,0.463158,8,6,0.344828,26,6,0,58,0,1,0,17,4,0,0,22,0,3,19,0,1,0,1,8,2.653846,1,5,1,419,1,1,2,0,1,69,172,8,14,8,8,0,12,9,64,0,0,0,112,21,True
0.0,4,5,0,54,465,23,18,15,2,0,22,0.901176,171667,0,1,444,26,10,8,1,0,7652,1,0,1.0,0,0,3.047619,6749,3186,0,2,0.463158,8,6,0.344828,26,6,0,58,0,1,0,17,4,0,0,22,0,3,19,0,0,0,0,8,2.653846,0,5,4,419,1,1,2,0,1,69,172,8,14,8,8,0,10,9,64,0,0,0,112,21,False
0.0,0,5,0,54,465,23,18,15,2,0,22,0.901176,171667,0,1,444,26,10,8,1,0,7652,1,0,0.0,0,0,3.047619,6749,3186,0,2,0.463158,8,2,0.344828,26,6,0,58,0,1,0,17,4,0,0,22,0,3,19,0,0,0,0,8,2.653846,0,5,3,419,3,1,2,0,1,69,172,8,14,8,8,0,6,9,64,0,0,0,112,21,False
0.642857,21,47,0,54,465,56,67,100,2,0,22,0.95083,171667,0,1,1512,104,29,37,4,3,7652,1,0,0.35,0,0,3.157895,6749,3186,0,2,0.389404,37,73,0.464912,104,1,0,173,0,2,0,31,4,0,39,72,0,10,55,0,14,0,9,5,2.201923,14,3,0,1211,0,2,10,7,41,229,172,5,14,5,21,0,239,26,180,0,1,0,112,57,False
0.461538,1,0,0,54,465,90,10,0,1,0,22,0.0,171667,0,0,1147,11,77,1,5,5,7652,3,0,0.066667,0,0,14.636364,6749,69768,183,12,0.0,1,32,0,11,9,0,427,0,6,0,0,106,0,14,89,0,0,10,0,9,0,6,0,14.636364,13,2,1,1147,1,0,14,0,22,161,2620,0,0,0,30,0,105,0,161,0,1,0,2196,11,False
0.578947,0,0,0,54,465,38,12,4,1,0,22,0.53125,171667,0,1,496,17,23,5,5,6,7652,1,0,0.0,0,0,9.882353,6749,69768,0,12,0.458333,5,29,1,17,13,0,57,0,7,0,2,106,0,16,45,0,0,16,0,17,0,11,0,9.882353,19,0,1,496,1,1,13,2,26,168,2620,0,0,0,16,0,103,2,168,0,0,0,2196,17,True
0.6,0,0,0,54,465,77,19,1,5,0,22,0.952381,171667,0,1,1261,22,57,3,7,8,7652,3,0,0.0,0,0,9.0,6749,69768,58,12,0.073529,3,40,1,22,21,0,224,0,6,0,4,106,0,21,77,0,0,17,0,17,0,12,0,9.0,20,0,0,1261,0,1,19,4,25,198,2620,0,0,0,31,0,145,4,198,0,2,0,2196,22,True
0.538462,3,0,0,54,465,165,136,0,1,0,22,0.848148,171667,0,0,5428,136,68,0,5,6,7652,2,3,0.176471,0,0,6.830882,6749,69768,48,12,0.828524,0,36,0,136,108,0,369,0,6,3,4,106,0,13,408,1,0,135,2,10,0,7,1,6.830882,13,25,0,5428,0,3,16,1,24,929,2620,0,0,0,48,1,132,3,929,0,1,0,2196,136,True
1.0,2,31,0,54,465,42,61,57,2,0,22,0.972348,171667,0,1,1012,67,36,6,4,5,7652,1,0,0.2,0,0,3.972222,6749,69768,0,12,0.15625,6,28,0.430769,67,9,0,123,0,6,0,40,106,1,7,63,1,4,34,0,4,0,5,10,2.597015,5,1,0,849,0,2,16,28,25,174,2620,9,8,9,25,0,122,30,143,0,0,0,2196,36,True
0.666667,2,10,0,54,465,43,61,46,1,0,22,0.960606,171667,0,0,1606,61,21,0,8,5,7652,1,0,0.153846,0,0,4.235294,6749,2931,0,1,0.235028,0,26,0.782609,61,15,0,110,0,6,5,22,5,1,11,25,14,8,50,0,5,0,4,15,3.704918,6,0,0,1544,0,5,13,9,26,226,188,1,0,1,15,1,143,7,216,0,1,0,168,51,True
