CDISP_method,ATLD_method,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,NOPK_project,LCOM5_type,LOC_project,MaMCL_method,isStatic_method,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOP_method,FDP_method,NOM_project,DIT_type,number_protected_visibility_methods,LAA_method,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOMNAMM_project,IDMethod,LOC_package,NIM_type,NOI_package,TCC_type,number_static_methods,NOAV_method,WOC_type,NOM_type,number_package_visibility_methods,number_final_not_static_methods,RFC_type,number_final_static_methods,MAXNESTING_method,number_protected_visibility_attributes,NOA_type,NOCS_package,NOII_type,ATFD_method,ATFD_type,num_final_not_static_attributes,number_private_visibility_attributes,number_standard_design_methods,NMO_type,CFNAMM_method,NMCS_method,FANOUT_method,num_final_attributes,AMW_type,CINT_method,number_private_visibility_methods,CM_method,LOCNAMM_type,CC_method,CLNAMM_method,NOLV_method,number_package_visibility_attributes,CYCLO_method,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,num_static_attributes,FANOUT_type,NOCS_type,LOC_method,num_not_final_not_static_attributes,WMCNAMM_type,MeMCL_method,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
1.0,7,9,0,32,799,42,36,35,1,0,22,0.812245,136533,0,0,470,36,25,0,1,1,6880,2,0,0.875,0,0,1.851852,5602,156935,3308,18,1,0.242424,0,9,0.742857,36,0,0,117,0,1,0,7,25,1,1,29,0,0,26,14,5,0,5,0,1.722222,5,1,0,404,0,0,1,8,1,62,244,0,0,0,22,1,14,8,50,0,0,0,188,27,0
0.777778,7,9,0,32,799,42,36,35,1,0,22,0.812245,136533,0,0,470,36,25,0,1,4,6880,2,0,0.583333,0,0,1.851852,5602,156936,3308,18,1,0.242424,0,16,0.742857,36,0,0,117,0,1,0,7,25,1,5,29,0,0,26,14,7,0,7,0,1.722222,9,1,0,404,0,0,5,8,3,62,244,0,0,0,22,1,15,8,50,0,0,0,188,27,1
1.0,8,9,0,32,799,42,36,35,1,0,22,0.812245,136533,0,0,470,36,25,0,1,0,6880,2,0,1.0,0,0,1.851852,5602,156937,3308,18,1,0.242424,0,10,0.742857,36,0,0,117,0,1,0,7,25,1,0,29,0,0,26,14,3,0,3,0,1.722222,3,1,0,404,0,1,2,8,1,62,244,0,0,0,22,1,14,8,50,0,0,0,188,27,1
1.0,9,9,0,32,799,42,36,35,1,0,22,0.812245,136533,0,0,470,36,25,0,1,0,6880,2,0,1.0,0,0,1.851852,5602,156938,3308,18,1,0.242424,0,11,0.742857,36,0,0,117,0,1,0,7,25,1,0,29,0,0,26,14,3,0,3,0,1.722222,3,1,0,404,0,0,2,8,1,62,244,0,0,0,22,1,13,8,50,0,0,0,188,27,0
0.571429,9,1,0,32,799,8,5,5,1,0,22,0.821429,136533,0,0,173,5,5,0,1,2,6880,1,0,0.692308,0,0,10.0,5602,156976,3308,0,1,1.0,0,32,0.285714,5,0,0,15,0,3,0,14,25,1,4,4,0,7,3,0,5,0,4,9,8.2,7,0,0,164,0,0,16,0,25,41,244,9,9,9,4,0,105,7,40,0,0,0,188,4,0
1.0,2,19,0,32,799,58,52,53,4,0,22,0.884328,136533,0,1,3803,68,45,16,11,0,6880,2,1,0.133333,2,0,11.469388,5602,157307,16486,25,2,0.512157,16,47,0.641509,68,1,0,189,0,6,0,16,68,1,0,23,0,17,45,17,2,0,2,6,9.029412,2,13,0,3494,0,0,32,0,51,614,924,6,0,8,26,4,346,9,562,0,0,0,681,49,0
0.333333,1,22,0,32,799,42,46,49,3,3,22,0.766038,136533,0,1,1614,51,44,5,5,1,6880,2,1,0.5,0,0,6.53125,5602,158055,16486,25,2,0.442376,5,25,0.55102,54,1,3,158,0,6,0,10,68,1,1,26,0,2,29,17,3,0,1,2,5.018519,3,3,0,1257,0,1,23,14,23,271,924,2,0,2,23,1,102,14,209,0,0,0,681,32,0
0.25,4,2,0,32,799,25,29,23,1,0,22,0.89011,136533,0,0,1741,29,12,0,11,2,6880,1,0,0.444444,3,0,10.518519,5602,160605,3724,0,3,0.580087,0,59,0.913043,29,0,0,67,0,7,8,13,23,1,5,28,0,6,26,0,1,0,1,3,9.896552,4,6,0,1716,0,0,50,0,55,287,150,3,0,6,12,2,309,8,284,0,0,0,144,27,1
0.333333,2,2,0,32,799,25,29,23,1,0,22,0.89011,136533,0,0,1741,29,12,0,12,2,6880,1,0,0.285714,3,0,10.518519,5602,160606,3724,0,3,0.580087,0,84,0.913043,29,0,0,67,0,6,8,13,23,1,5,28,0,6,26,0,0,0,1,3,9.896552,3,6,0,1716,0,0,77,0,30,287,150,3,0,6,12,2,367,8,284,0,0,0,144,27,2
0.32,3,3,0,32,799,51,23,9,1,0,22,0.827273,136533,0,0,1054,23,21,0,13,7,6880,1,0,0.115385,0,0,9.45,5602,160975,10173,0,4,0.490909,0,76,0.6,23,3,0,86,0,6,0,10,55,0,23,71,0,15,19,0,16,0,8,0,8.347826,25,11,0,1030,0,3,42,0,23,192,328,0,1,0,16,0,135,16,189,0,0,0,301,20,2
0.45,4,3,0,32,799,140,34,12,1,0,22,0.692037,136533,0,0,2633,34,74,0,11,6,6880,1,22,0.181818,0,0,13.032258,5602,161060,10173,0,4,0.501894,0,46,0.36,34,0,0,219,0,8,94,43,55,2,13,119,0,0,30,0,15,0,9,13,13.0,20,0,0,2410,0,2,26,0,33,442,328,13,13,13,67,8,107,94,404,0,0,0,301,31,2
