CDISP_method,ATLD_method,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,NOPK_project,LCOM5_type,LOC_project,MaMCL_method,isStatic_method,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOP_method,FDP_method,NOM_project,DIT_type,number_protected_visibility_methods,LAA_method,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOMNAMM_project,IDMethod,LOC_package,NIM_type,NOI_package,TCC_type,number_static_methods,NOAV_method,WOC_type,NOM_type,number_package_visibility_methods,number_final_not_static_methods,RFC_type,number_final_static_methods,MAXNESTING_method,number_protected_visibility_attributes,NOA_type,NOCS_package,NOII_type,ATFD_method,ATFD_type,num_final_not_static_attributes,number_private_visibility_attributes,number_standard_design_methods,NMO_type,CFNAMM_method,NMCS_method,FANOUT_method,num_final_attributes,AMW_type,CINT_method,number_private_visibility_methods,CM_method,LOCNAMM_type,CC_method,CLNAMM_method,NOLV_method,number_package_visibility_attributes,CYCLO_method,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,num_static_attributes,FANOUT_type,NOCS_type,LOC_method,num_not_final_not_static_attributes,WMCNAMM_type,MeMCL_method,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
1.0,0,0,0,5,56,3,2,2,1,0,4,0.0,10835,0,0,88,3,2,1,0,0,502,5,0,0.0,0,0,3.333333,445,1341,619,72,0,1.0,1,0,1,3,0,0,6,0,2,0,0,3,0,0,1,0,0,2,0,1,0,1,0,3.333333,1,1,0,88,0,0,1,0,3,10,34,0,0,0,2,0,18,0,10,0,0,0,28,3,0
0.5,0,0,0,5,56,3,2,2,1,0,4,0.0,10835,0,0,88,3,2,1,4,1,502,5,0,0.0,0,0,3.333333,445,1342,619,72,0,1.0,1,7,1,3,0,0,6,0,2,0,0,3,0,1,1,0,0,2,0,2,0,1,0,3.333333,2,1,0,88,0,1,6,0,4,10,34,0,0,0,2,0,27,0,10,0,0,0,28,3,1
0.5,0,0,0,5,56,3,2,2,1,0,4,0.0,10835,0,1,88,3,2,1,0,1,502,5,0,0.0,0,0,3.333333,445,1343,619,72,0,1.0,1,4,1,3,0,0,6,0,3,0,0,3,0,1,1,0,0,2,0,2,0,1,0,3.333333,2,1,0,88,0,0,4,0,3,10,34,0,0,0,2,0,12,0,10,0,0,0,28,3,0
1.0,4,6,0,5,56,1,30,30,1,0,4,0.937304,10835,0,0,518,30,1,0,0,0,502,1,0,1.0,0,0,1.75,445,1344,619,0,0,0.261084,0,4,0.8,30,0,0,31,0,1,11,11,3,1,0,0,0,0,23,0,1,0,1,5,1.833333,1,0,0,390,0,0,0,0,1,55,34,5,0,5,1,0,7,6,42,0,0,0,28,24,0
0.0,0,6,0,5,56,1,30,30,1,0,4,0.937304,10835,0,0,518,30,1,0,2,0,502,1,0,0.0,0,0,1.75,445,1345,619,0,0,0.261084,0,2,0.8,30,0,0,31,0,1,11,11,3,1,0,0,0,0,23,0,0,0,0,5,1.833333,0,0,0,390,0,1,2,0,1,55,34,5,0,5,1,0,4,6,42,0,0,0,28,24,0
0.0,4,6,0,5,56,1,30,30,1,0,4,0.937304,10835,0,0,518,30,1,0,2,0,502,1,0,1.0,0,0,1.75,445,1346,619,0,0,0.261084,0,14,0.8,30,0,0,31,0,3,11,11,3,1,0,0,0,0,23,0,0,0,0,5,1.833333,0,0,0,390,0,0,10,0,3,55,34,5,0,5,1,0,30,6,42,0,0,0,28,24,0
0.454545,15,9,0,5,56,30,41,31,0,7,4,0.949275,10835,0,0,1342,41,10,0,3,2,502,1,9,0.428571,0,1,5.605263,445,1428,7963,0,5,0.49359,2,52,0.709677,47,1,5,77,2,7,34,48,40,2,15,19,5,13,38,0,11,0,5,24,4.829787,11,7,0,1264,0,12,19,0,60,227,322,19,1,19,11,3,206,24,213,0,0,0,277,38,1
0.333333,4,0,0,5,56,10,0,0,0,0,4,0.9,10835,0,1,469,7,1,7,3,0,502,1,0,1.0,2,0,7.714286,445,1526,7963,0,5,0.3,7,18,0,7,5,0,17,0,7,0,5,40,0,0,0,0,5,7,0,6,0,2,3,7.714286,6,2,0,469,0,4,17,0,21,54,322,3,0,5,2,1,111,0,54,0,0,0,277,7,0
1.0,2,15,0,5,56,13,24,21,1,0,4,0.989967,10835,0,0,624,24,9,0,1,1,502,2,3,0.095238,3,0,3.111111,445,1643,7963,8,5,0.177866,0,32,0.285714,24,0,0,41,0,1,25,26,40,1,19,22,5,1,8,0,0,0,1,16,2.166667,1,0,0,488,0,1,1,0,2,52,322,11,0,14,8,1,7,7,28,0,0,0,277,9,2
0.333333,0,0,0,5,56,36,19,2,0,0,4,0.882353,10835,0,0,1097,19,9,0,1,5,502,1,12,0.0,0,1,15.888889,445,1676,7963,0,5,0.269231,0,51,1,18,0,0,61,0,7,0,2,40,1,33,61,2,2,18,0,16,0,7,2,15.888889,21,5,0,1097,0,9,12,0,42,286,322,0,0,0,9,0,142,0,286,0,0,0,277,18,2
