name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc
org.apache.tools.ant.taskdefs.Javadoc$JavaReader,4.0,3.0,0.0,6.0,6.0,6.0,1.0,6.0,4.0,1.0,171.0,1.0,1.0,0.857142857143,0.375,2.0,4.0,41.5,1.0,1.0
org.apache.tools.ant.taskdefs.Mkdir,3.0,3.0,0.0,8.0,13.0,1.0,0.0,8.0,3.0,0.5,55.0,1.0,0.0,0.948717948718,0.666666666667,1.0,1.0,17.0,1.0,1.0
com.oreilly.servlet.MailMessage,27.0,1.0,0.0,18.0,66.0,297.0,0.0,18.0,10.0,0.769230769231,517.0,0.0,1.0,0.0,0.37962962963,0.0,0.0,17.8518518519,1.51851851852,11.0
org.apache.tools.ant.taskdefs.Exec$StreamPumper,3.0,2.0,0.0,11.0,10.0,0.0,1.0,11.0,3.0,0.25,77.0,1.0,2.0,0.969696969697,0.5,1.0,1.0,22.6666666667,1.33333333333,2.0
org.apache.tools.ant.taskdefs.Javadoc,58.0,4.0,0.0,24.0,128.0,1437.0,5.0,24.0,51.0,0.964165733483,1725.0,1.0,4.0,0.446601941748,0.316091954023,2.0,3.0,27.9310344828,1.51724137931,7.0
org.apache.tools.ant.taskdefs.Javadoc$DocletParam,5.0,1.0,0.0,5.0,6.0,6.0,2.0,4.0,5.0,0.833333333333,28.0,1.0,1.0,0.0,0.533333333333,0.0,0.0,4.0,1.0,1.0
org.apache.tools.ant.ProjectHelper$ProjectHandler,6.0,0.0,0.0,16.0,30.0,0.0,1.0,15.0,3.0,0.0,220.0,1.0,1.0,0.0,0.6,0.0,0.0,35.5,1.0,1.0
org.apache.tools.ant.taskdefs.XSLTLiaison,2.0,1.0,0.0,5.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
org.apache.tools.ant.DirectoryScanner,20.0,1.0,0.0,20.0,46.0,138.0,11.0,9.0,14.0,0.878947368421,1130.0,1.0,0.0,0.0,0.355263157895,0.0,0.0,55.0,5.7,35.0
org.apache.tools.ant.ProjectHelper$RootHandler,3.0,2.0,0.0,10.0,10.0,0.0,1.0,10.0,2.0,0.0,38.0,1.0,1.0,0.875,0.466666666667,1.0,1.0,11.3333333333,1.0,1.0
org.apache.tools.ant.ProjectHelper$TaskHandler,4.0,0.0,0.0,22.0,28.0,0.0,2.0,20.0,4.0,0.333333333333,113.0,1.0,3.0,0.0,0.40625,0.0,0.0,26.5,1.0,1.0
org.apache.tools.ant.taskdefs.Javadoc$GroupArgument,5.0,1.0,0.0,4.0,6.0,6.0,1.0,4.0,5.0,0.833333333333,28.0,1.0,1.0,0.0,0.533333333333,0.0,0.0,4.0,1.0,1.0
org.apache.tools.ant.taskdefs.FixCRLF,8.0,4.0,0.0,17.0,34.0,6.0,0.0,17.0,8.0,0.761904761905,626.0,1.0,0.0,0.917647058824,0.4375,2.0,2.0,76.5,1.875,3.0
org.apache.tools.ant.taskdefs.Javadoc$DocletInfo,8.0,1.0,0.0,8.0,15.0,14.0,1.0,8.0,8.0,0.785714285714,72.0,1.0,2.0,0.0,0.34375,0.0,0.0,7.5,1.25,2.0
org.apache.tools.tar.TarEntry,28.0,1.0,0.0,14.0,65.0,192.0,4.0,10.0,27.0,0.740740740741,742.0,1.0,0.0,0.0,0.200892857143,1.0,1.0,24.9642857143,1.82142857143,13.0
