name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
com.oreilly.servlet.MailMessage,27.0,1.0,0.0,18.0,66.0,297.0,0.0,18.0,10.0,0.769230769231,517.0,0.0,1.0,0.0,0.37962962963,0.0,0.0,17.8518518519,1.51851851852,11.0,1
com.oreilly.servlet.MailPrintStream,5.0,4.0,0.0,6.0,9.0,10.0,1.0,5.0,3.0,0.75,81.0,0.0,0.0,0.928571428571,0.44,1.0,1.0,15.0,2.2,5.0,1
com.sun.xml.parser.AttributeDecl,1.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,2.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,0
com.sun.xml.parser.AttributeDecl,1.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,2.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,0
com.sun.xml.parser.AttributeListEx,3.0,1.0,0.0,7.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.833333333333,0.0,0.0,0.0,1.0,1.0,0
com.sun.xml.parser.AttributeListEx,3.0,1.0,0.0,7.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.833333333333,0.0,0.0,0.0,1.0,1.0,0
com.sun.xml.parser.AttributeListImpl,13.0,1.0,0.0,8.0,20.0,10.0,1.0,7.0,11.0,0.708333333333,177.0,1.0,0.0,0.0,0.442307692308,0.0,0.0,12.1538461538,1.46153846154,2.0,1
com.sun.xml.parser.AttributeListImpl,13.0,1.0,0.0,8.0,20.0,10.0,1.0,7.0,11.0,0.708333333333,177.0,1.0,0.0,0.0,0.442307692308,0.0,0.0,12.1538461538,1.46153846154,2.0,1
com.sun.xml.parser.ContentModel,4.0,1.0,0.0,11.0,10.0,0.0,5.0,6.0,4.0,0.25,232.0,0.25,2.0,0.0,0.5,0.0,0.0,56.0,9.75,21.0,1
com.sun.xml.parser.ContentModel,4.0,1.0,0.0,11.0,10.0,0.0,5.0,6.0,4.0,0.25,232.0,0.25,2.0,0.0,0.5,0.0,0.0,56.0,9.75,21.0,1
