name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
org.apache.tools.ant.AntClassLoader,63.0,2.0,3.0,94.0,176.0,1517.0,40.0,56.0,39.0,0.868548387097,2035.0,0.8,2.0,0.544715447154,0.15668202765,1.0,6.0,30.9841269841,2.22222222222,13.0,1
org.apache.tools.ant.AntClassLoader$ResourceEnumeration,4.0,1.0,0.0,9.0,9.0,0.0,1.0,9.0,2.0,0.25,75.0,1.0,1.0,0.0,0.5,0.0,0.0,16.75,1.75,3.0,0
org.apache.tools.ant.AntTypeDefinition,24.0,1.0,2.0,29.0,50.0,172.0,11.0,18.0,20.0,0.75,611.0,0.875,0.0,0.0,0.267857142857,0.0,0.0,24.125,2.54166666667,11.0,1
org.apache.tools.ant.BuildEvent,11.0,2.0,0.0,21.0,15.0,13.0,14.0,8.0,11.0,0.8,98.0,1.0,3.0,0.2,0.220779220779,0.0,0.0,7.27272727273,1.0,1.0,3
org.apache.tools.ant.BuildException,11.0,4.0,4.0,487.0,21.0,0.0,480.0,7.0,11.0,0.6,91.0,1.0,1.0,0.84,0.522727272727,1.0,1.0,7.09090909091,1.0,1.0,0
org.apache.tools.ant.BuildFileTest,38.0,0.0,0.0,19.0,77.0,625.0,1.0,19.0,34.0,0.59009009009,636.0,1.0,0.0,0.0,0.347368421053,0.0,0.0,15.5789473684,1.36842105263,3.0,1
org.apache.tools.ant.BuildFileTest$AntOutputStream,2.0,2.0,0.0,5.0,4.0,0.0,1.0,4.0,2.0,0.0,16.0,1.0,0.0,0.833333333333,0.666666666667,1.0,1.0,6.5,1.0,1.0,0
org.apache.tools.ant.BuildFileTest$AntTestListener,8.0,1.0,0.0,7.0,14.0,26.0,1.0,7.0,8.0,0.857142857143,57.0,1.0,1.0,0.0,0.53125,0.0,0.0,5.875,1.5,5.0,0
org.apache.tools.ant.BuildListener,7.0,1.0,0.0,13.0,7.0,21.0,9.0,4.0,7.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
org.apache.tools.ant.BuildLogger,4.0,1.0,0.0,8.0,4.0,6.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0
org.apache.tools.ant.ComponentHelper,47.0,1.0,0.0,59.0,178.0,719.0,12.0,50.0,28.0,0.890269151139,1947.0,0.761904761905,3.0,0.0,0.157608695652,0.0,0.0,39.9787234043,2.31914893617,10.0,2
org.apache.tools.ant.ComponentHelper$AntTypeTable,8.0,3.0,0.0,12.0,20.0,16.0,1.0,11.0,4.0,0.714285714286,112.0,1.0,1.0,0.877192982456,0.5,1.0,2.0,12.75,1.875,5.0,2
org.apache.tools.ant.DefaultLogger,21.0,1.0,5.0,31.0,53.0,170.0,8.0,23.0,12.0,0.9,444.0,0.857142857143,0.0,0.0,0.211111111111,0.0,0.0,19.8095238095,2.04761904762,12.0,2
org.apache.tools.ant.DemuxInputStream,3.0,2.0,0.0,6.0,5.0,0.0,1.0,5.0,3.0,0.75,37.0,1.0,1.0,0.818181818182,0.5,1.0,2.0,10.6666666667,1.0,1.0,0
org.apache.tools.ant.DemuxOutputStream,10.0,2.0,0.0,12.0,30.0,27.0,1.0,11.0,5.0,0.761904761905,251.0,1.0,1.0,0.357142857143,0.283333333333,1.0,1.0,23.4,1.1,2.0,2
org.apache.tools.ant.DemuxOutputStream$1,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
org.apache.tools.ant.DemuxOutputStream$BufferInfo,6.0,1.0,0.0,5.0,7.0,7.0,1.0,4.0,0.0,0.6,33.0,1.0,0.0,0.0,0.3,0.0,0.0,4.16666666667,1.0,1.0,0
org.apache.tools.ant.Diagnostics,36.0,1.0,0.0,49.0,119.0,628.0,2.0,48.0,6.0,1.01428571429,1159.0,0.8,0.0,0.0,0.0925925925926,0.0,0.0,30.9166666667,2.16666666667,13.0,6
org.apache.tools.ant.Diagnostics$1,2.0,1.0,0.0,6.0,4.0,1.0,1.0,5.0,1.0,2.0,9.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,3.5,1.0,1.0,0
org.apache.tools.ant.DirectoryScanner,70.0,1.0,2.0,80.0,169.0,2029.0,43.0,37.0,34.0,0.887583235409,2561.0,0.945945945946,5.0,0.0,0.153381642512,0.0,0.0,35.0571428571,2.92857142857,26.0,5
org.apache.tools.ant.DynamicAttribute,1.0,1.0,0.0,7.0,1.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
org.apache.tools.ant.DynamicAttributeNS,1.0,1.0,0.0,6.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
org.apache.tools.ant.DynamicConfigurator,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
org.apache.tools.ant.DynamicConfiguratorNS,0.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
org.apache.tools.ant.DynamicElement,1.0,1.0,0.0,5.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
org.apache.tools.ant.DynamicElementNS,1.0,1.0,0.0,6.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
org.apache.tools.ant.Executor,2.0,1.0,0.0,8.0,2.0,1.0,4.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,1.0,1.0,0
org.apache.tools.ant.ExitException,3.0,5.0,0.0,8.0,8.0,0.0,3.0,5.0,3.0,0.75,29.0,1.0,0.0,0.954545454545,0.666666666667,0.0,0.0,8.0,1.0,1.0,0
org.apache.tools.ant.ExitStatusException,4.0,5.0,0.0,8.0,7.0,0.0,3.0,5.0,4.0,0.666666666667,30.0,1.0,0.0,0.966666666667,0.625,0.0,0.0,6.0,1.0,1.0,0
org.apache.tools.ant.ExtensionPoint,3.0,2.0,0.0,9.0,5.0,3.0,2.0,7.0,3.0,1.5,17.0,1.0,0.0,0.928571428571,0.555555555556,0.0,0.0,4.33333333333,1.0,1.0,0
org.apache.tools.ant.FileScanner,14.0,1.0,0.0,10.0,14.0,91.0,5.0,5.0,14.0,2.0,14.0,0.0,0.0,0.0,0.271428571429,0.0,0.0,0.0,1.0,1.0,0
org.apache.tools.ant.IntrospectionHelper,48.0,1.0,0.0,67.0,146.0,944.0,23.0,63.0,27.0,0.947720364742,2247.0,0.371428571429,0.0,0.0,0.234042553191,0.0,0.0,45.0833333333,3.9375,54.0,1
org.apache.tools.ant.IntrospectionHelper$1,2.0,2.0,0.0,7.0,3.0,0.0,2.0,6.0,0.0,0.5,17.0,1.0,1.0,0.857142857143,0.7,0.0,0.0,6.5,1.0,1.0,0
org.apache.tools.ant.IntrospectionHelper$10,2.0,2.0,0.0,17.0,11.0,0.0,1.0,17.0,1.0,0.333333333333,68.0,1.0,1.0,0.666666666667,0.642857142857,0.0,0.0,31.5,1.0,1.0,0
org.apache.tools.ant.IntrospectionHelper$11,2.0,2.0,0.0,16.0,15.0,0.0,1.0,16.0,1.0,0.2,115.0,1.0,1.0,0.666666666667,0.611111111111,0.0,0.0,54.0,1.0,1.0,0
org.apache.tools.ant.IntrospectionHelper$12,2.0,2.0,0.0,15.0,14.0,0.0,1.0,15.0,1.0,0.333333333333,88.0,1.0,1.0,0.666666666667,0.571428571429,0.0,0.0,41.5,1.0,1.0,0
org.apache.tools.ant.IntrospectionHelper$13,4.0,2.0,0.0,10.0,9.0,0.0,1.0,10.0,0.0,0.555555555556,63.0,1.0,1.0,0.666666666667,0.5,0.0,0.0,14.0,1.0,1.0,0
org.apache.tools.ant.IntrospectionHelper$2,2.0,2.0,0.0,11.0,4.0,1.0,1.0,11.0,1.0,1.0,16.0,1.0,1.0,0.666666666667,0.571428571429,0.0,0.0,6.5,1.0,1.0,0
