name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
javax.xml.XMLConstants,1.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,2.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0
javax.xml.XMLConstants,1.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,2.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0
javax.xml.datatype.DatatypeConfigurationException,11.0,3.0,0.0,16.0,27.0,0.0,1.0,15.0,7.0,0.575,219.0,0.75,0.0,0.75,0.30303030303,1.0,1.0,18.5454545455,1.72727272727,3.0,4
javax.xml.datatype.DatatypeConfigurationException,11.0,3.0,0.0,16.0,27.0,0.0,1.0,15.0,7.0,0.575,219.0,0.75,0.0,0.75,0.30303030303,1.0,1.0,18.5454545455,1.72727272727,3.0,4
javax.xml.datatype.DatatypeConstants,2.0,1.0,0.0,7.0,5.0,1.0,1.0,6.0,0.0,1.52777777778,150.0,0.0,17.0,0.0,1.0,0.0,0.0,56.0,1.0,1.0,0
javax.xml.datatype.DatatypeConstants,2.0,1.0,0.0,7.0,5.0,1.0,1.0,6.0,0.0,1.52777777778,150.0,0.0,17.0,0.0,1.0,0.0,0.0,56.0,1.0,1.0,0
javax.xml.datatype.DatatypeConstants$1,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
javax.xml.datatype.DatatypeConstants$1,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
javax.xml.datatype.DatatypeConstants$Field,4.0,1.0,0.0,6.0,5.0,2.0,2.0,4.0,2.0,0.333333333333,26.0,1.0,0.0,0.0,0.5625,0.0,0.0,5.0,1.0,1.0,0
javax.xml.datatype.DatatypeConstants$Field,4.0,1.0,0.0,6.0,5.0,2.0,2.0,4.0,2.0,0.333333333333,26.0,1.0,0.0,0.0,0.5625,0.0,0.0,5.0,1.0,1.0,0
javax.xml.datatype.DatatypeFactory,23.0,1.0,0.0,15.0,37.0,253.0,0.0,15.0,22.0,1.04545454545,292.0,0.0,0.0,0.0,0.282608695652,0.0,0.0,11.6086956522,1.60869565217,7.0,0
javax.xml.datatype.DatatypeFactory,23.0,1.0,0.0,15.0,37.0,253.0,0.0,15.0,22.0,1.04545454545,292.0,0.0,0.0,0.0,0.282608695652,0.0,0.0,11.6086956522,1.60869565217,7.0,0
javax.xml.datatype.Duration,29.0,1.0,0.0,18.0,57.0,406.0,2.0,16.0,27.0,2.0,488.0,0.0,0.0,0.0,0.193965517241,1.0,1.0,15.8275862069,2.31034482759,19.0,1
javax.xml.datatype.Duration,29.0,1.0,0.0,18.0,57.0,406.0,2.0,16.0,27.0,2.0,488.0,0.0,0.0,0.0,0.193965517241,1.0,1.0,15.8275862069,2.31034482759,19.0,1
javax.xml.datatype.FactoryFinder,9.0,1.0,0.0,26.0,43.0,0.0,1.0,25.0,0.0,0.833333333333,500.0,0.833333333333,0.0,0.0,0.25,0.0,0.0,53.8888888889,1.55555555556,3.0,2
javax.xml.datatype.FactoryFinder,9.0,1.0,0.0,26.0,43.0,0.0,1.0,25.0,0.0,0.833333333333,500.0,0.833333333333,0.0,0.0,0.25,0.0,0.0,53.8888888889,1.55555555556,3.0,2
