name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
org.abego.treelayout.Configuration,4.0,1.0,0.0,6.0,4.0,6.0,2.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0
org.abego.treelayout.Configuration$AlignmentInLevel,4.0,2.0,0.0,9.0,7.0,4.0,3.0,6.0,2.0,0.916666666667,56.0,0.25,4.0,0.866666666667,0.444444444444,1.0,1.0,12.0,1.0,1.0,0
org.abego.treelayout.Configuration$Location,4.0,2.0,0.0,9.0,7.0,4.0,3.0,6.0,2.0,0.933333333333,67.0,0.2,5.0,0.866666666667,0.444444444444,1.0,1.0,14.5,1.0,1.0,0
org.abego.treelayout.NodeExtentProvider,2.0,1.0,0.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
org.abego.treelayout.TreeForTreeLayout,7.0,1.0,0.0,5.0,7.0,21.0,2.0,3.0,7.0,2.0,7.0,0.0,0.0,0.0,0.928571428571,0.0,0.0,0.0,1.0,1.0,0
org.abego.treelayout.TreeLayout,47.0,1.0,0.0,31.0,101.0,761.0,1.0,31.0,12.0,0.852657004831,1475.0,1.0,3.0,0.0,0.182624113475,0.0,0.0,30.0,2.21276595745,9.0,0
org.abego.treelayout.TreeLayout$DumpConfiguration,2.0,1.0,0.0,4.0,3.0,1.0,1.0,3.0,2.0,0.0,23.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,9.0,1.0,1.0,0
org.abego.treelayout.TreeLayout$NormalizedPosition,4.0,2.0,0.0,4.0,7.0,0.0,1.0,4.0,4.0,0.333333333333,38.0,0.666666666667,1.0,0.8125,0.583333333333,1.0,5.0,7.75,1.0,1.0,0
org.abego.treelayout.internal.util.Contract,3.0,1.0,0.0,9.0,6.0,3.0,4.0,5.0,3.0,2.0,22.0,0.0,0.0,0.0,0.555555555556,0.0,0.0,6.33333333333,1.66666666667,2.0,0
org.abego.treelayout.internal.util.java.lang.IterableUtil,2.0,1.0,0.0,6.0,5.0,1.0,1.0,5.0,2.0,2.0,15.0,0.0,0.0,0.0,0.5,0.0,0.0,6.5,1.5,2.0,0
org.abego.treelayout.internal.util.java.lang.IterableUtil$ReverseIterable,2.0,1.0,0.0,7.0,4.0,0.0,1.0,6.0,2.0,0.0,13.0,1.0,0.0,0.0,0.75,0.0,0.0,5.0,1.0,1.0,0
