name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
Acme.IntHashtable,,,,,,,,,,,,,,,,,,,,,0
Acme.IntHashtableEntry,,,,,,,,,,,,,,,,,,,,,0
Acme.IntHashtableEnumerator,,,,,,,,,,,,,,,,,,,,,0
Acme.JPM.Encoders.GifEncoder,,,,,,,,,,,,,,,,,,,,,2
Acme.JPM.Encoders.GifEncoderHashitem,,,,,,,,,,,,,,,,,,,,,1
Acme.JPM.Encoders.ImageEncoder,,,,,,,,,,,,,,,,,,,,,2
Acme.JPM.Encoders.JpegEncoder,,,,,,,,,,,,,,,,,,,,,0
Acme.JPM.Encoders.PpmEncoder,,,,,,,,,,,,,,,,,,,,,1
antlr.ANTLRError,2.0,3.0,0.0,4.0,4.0,1.0,0.0,4.0,2.0,2.0,9.0,0.0,0.0,1.0,0.75,0.0,0.0,3.5,1.0,1.0,0
antlr.ANTLRException,2.0,3.0,3.0,8.0,4.0,1.0,4.0,4.0,2.0,2.0,9.0,0.0,0.0,1.0,0.75,0.0,0.0,3.5,1.0,1.0,0
antlr.ANTLRGrammarParseBehavior,53.0,1.0,0.0,9.0,53.0,1378.0,3.0,6.0,53.0,2.0,53.0,0.0,0.0,0.0,0.339622641509,0.0,0.0,0.0,1.0,1.0,0
antlr.ANTLRHashString,9.0,1.0,0.0,6.0,14.0,4.0,3.0,4.0,7.0,0.5,201.0,1.0,1.0,0.0,0.37037037037,1.0,1.0,20.7777777778,2.55555555556,10.0,2
antlr.ANTLRLexer,52.0,0.0,0.0,36.0,100.0,1316.0,6.0,30.0,36.0,0.947712418301,3745.0,0.0,3.0,0.0,0.260504201681,0.0,0.0,70.9615384615,1.51923076923,27.0,0
antlr.ANTLRParser,61.0,0.0,0.0,20.0,149.0,994.0,1.0,20.0,42.0,0.917543859649,4414.0,0.105263157895,16.0,0.0,0.11,0.0,0.0,71.0491803279,1.26229508197,16.0,3
antlr.ANTLRStringBuffer,10.0,1.0,0.0,10.0,14.0,0.0,7.0,3.0,10.0,0.222222222222,148.0,1.0,0.0,0.0,0.425,0.0,0.0,13.6,1.6,4.0,1
antlr.ANTLRTokdefLexer,19.0,0.0,0.0,26.0,51.0,167.0,1.0,25.0,14.0,0.944444444444,1249.0,0.5,2.0,0.0,0.324074074074,0.0,0.0,64.5263157895,1.0,1.0,0
antlr.ANTLRTokdefParser,8.0,0.0,0.0,19.0,28.0,12.0,1.0,19.0,5.0,0.771428571429,386.0,0.4,2.0,0.0,0.380952380952,0.0,0.0,46.625,1.0,1.0,2
antlr.ANTLRTokdefParserTokenTypes,0.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
antlr.ANTLRTokenTypes,0.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
antlr.ASTFactory,15.0,1.0,0.0,15.0,32.0,99.0,2.0,13.0,15.0,0.428571428571,274.0,1.0,0.0,0.0,0.258333333333,0.0,0.0,17.1333333333,2.06666666667,9.0,0
antlr.ASTIterator,3.0,1.0,0.0,3.0,7.0,1.0,0.0,3.0,3.0,0.75,107.0,1.0,2.0,0.0,1.0,0.0,0.0,34.0,5.33333333333,9.0,2
antlr.ASTNULLType,23.0,1.0,0.0,8.0,24.0,253.0,2.0,6.0,23.0,2.0,65.0,0.0,0.0,0.0,0.339130434783,0.0,0.0,1.82608695652,1.0,1.0,0
antlr.ASTPair,4.0,1.0,0.0,6.0,10.0,0.0,1.0,5.0,4.0,0.5,69.0,0.0,2.0,0.0,1.0,0.0,0.0,15.75,2.0,3.0,0
antlr.ASTVisitor,1.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
antlr.ActionElement,4.0,0.0,0.0,18.0,13.0,4.0,9.0,11.0,4.0,0.666666666667,54.0,1.0,0.0,0.0,0.4375,0.0,0.0,12.0,1.25,2.0,0
antlr.ActionTransInfo,2.0,1.0,0.0,12.0,7.0,0.0,8.0,4.0,2.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,15.5,1.0,1.0,0
antlr.Alternative,9.0,1.0,0.0,19.0,10.0,14.0,11.0,8.0,9.0,0.944444444444,81.0,0.777777777778,6.0,0.0,0.444444444444,0.0,0.0,7.0,1.44444444444,3.0,0
antlr.AlternativeBlock,18.0,0.0,4.0,36.0,42.0,51.0,20.0,18.0,18.0,0.904411764706,582.0,0.8125,1.0,0.0,0.215277777778,0.0,0.0,30.4444444444,2.38888888889,11.0,4
antlr.AlternativeElement,7.0,0.0,7.0,26.0,9.0,1.0,20.0,6.0,7.0,0.888888888889,46.0,0.666666666667,1.0,0.0,0.428571428571,0.0,0.0,5.14285714286,1.0,1.0,0
antlr.BaseAST,33.0,1.0,1.0,15.0,63.0,504.0,1.0,14.0,31.0,0.8828125,855.0,1.0,2.0,0.0,0.194444444444,1.0,1.0,24.7878787879,3.36363636364,23.0,1
antlr.BlockContext,4.0,1.0,1.0,9.0,7.0,6.0,2.0,7.0,3.0,0.666666666667,27.0,0.0,2.0,0.0,0.625,0.0,0.0,5.0,1.0,1.0,0
