name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
org.argouml.application.ArgoVersion,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.Main,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.Main$1,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.PostLoad,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.PreloadClasses,,,,,,,,,,,,,,,,,,,,,38
org.argouml.application.StartCritics,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.api.AboutTabPanel,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.api.Argo,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.api.ArgoEventListener,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.api.ArgoModule,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.api.CommandLineInterface,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.api.Configuration,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.api.ConfigurationKey,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.api.Pluggable,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.api.PluggableImport,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.api.ProgressMonitor,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.api.QuadrantPanel,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.configuration.ConfigurationFactory,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.configuration.ConfigurationHandler,,,,,,,,,,,,,,,,,,,,,2
org.argouml.application.configuration.ConfigurationKeyImpl,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.configuration.ConfigurationProperties,,,,,,,,,,,,,,,,,,,,,9
org.argouml.application.configuration.IConfigurationFactory,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.events.ArgoEvent,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.events.ArgoEventPump,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.events.ArgoEventPump$Pair,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.events.ArgoEventTypes,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.events.ArgoGeneratorEvent,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.events.ArgoGeneratorEventListener,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.events.ArgoModuleEvent,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.events.ArgoModuleEventListener,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.events.ArgoNotationEvent,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.events.ArgoNotationEventListener,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.helpers.ResourceLoader,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.helpers.ResourceLoaderWrapper,,,,,,,,,,,,,,,,,,,,,0
org.argouml.application.modules.ModuleLoader,,,,,,,,,,,,,,,,,,,,,7
org.argouml.application.modules.ModuleLoader$JarFileFilter,,,,,,,,,,,,,,,,,,,,,1
org.argouml.application.security.ArgoAwtExceptionHandler,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.AbstractCognitiveTranslator,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.Decision,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.DecisionModel,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.Designer,,,,,,,,,,,,,,,,,,,,,4
org.argouml.cognitive.Designer$EmptyChildGenerator,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.Goal,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.GoalModel,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.Highlightable,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.ItemUID,,,,,,,,,,,,,,,,,,,,,1
org.argouml.cognitive.ListSet,,,,,,,,,,,,,,,,,,,,,3
org.argouml.cognitive.Offender,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.Poster,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.ResolvedCritic,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.ToDoItem,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.ToDoList,,,,,,,,,,,,,,,,,,,,,9
org.argouml.cognitive.ToDoListEvent,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.ToDoListListener,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.Translator,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.UnresolvableException,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.checklist.CheckItem,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.checklist.CheckManager,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.checklist.Checklist,,,,,,,,,,,,,,,,,,,,,1
org.argouml.cognitive.checklist.ChecklistStatus,,,,,,,,,,,,,,,,,,,,,2
org.argouml.cognitive.checklist.ui.TabChecklist,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.checklist.ui.TableModelChecklist,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.checklist.ui.TableModelChecklist$1,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.Agency,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.AndCM,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.CompositeCM,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.CompoundCritic,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.ControlMech,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.Critic,,,,,,,,,,,,,,,,,,,,,3
org.argouml.cognitive.critics.CurDecisionCM,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.DesignGoalsCM,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.EnabledCM,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.NotSnoozedCM,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.OrCM,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.SnoozeOrder,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.StandardCM,,,,,,,,,,,,,,,,,,,,,0
org.argouml.cognitive.critics.ui.CriticBrowserDialog,,,,,,,,,,,,,,,,,,,,,1
