name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
com.ibm.oti.vm.VM,3.0,1.0,0.0,6.0,4.0,3.0,1.0,5.0,3.0,2.0,8.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,1.66666666667,1.0,1.0,0
com.ibm.oti.vm.VM,3.0,1.0,0.0,6.0,4.0,3.0,1.0,5.0,3.0,2.0,8.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,1.66666666667,1.0,1.0,0
com.sun.jdi.AbsentInformationException,2.0,3.0,0.0,8.0,4.0,1.0,4.0,4.0,2.0,2.0,9.0,0.0,0.0,1.0,0.75,0.0,0.0,3.5,1.0,1.0,0
com.sun.jdi.Accessible,4.0,1.0,0.0,4.0,4.0,6.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
com.sun.jdi.ArrayReference,7.0,1.0,0.0,8.0,7.0,21.0,1.0,7.0,7.0,2.0,7.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0
com.sun.jdi.ArrayType,4.0,1.0,0.0,7.0,4.0,6.0,0.0,7.0,4.0,2.0,4.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,1.0,1.0,0
com.sun.jdi.BooleanType,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
com.sun.jdi.BooleanValue,3.0,1.0,0.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.666666666667,1.0,1.0,0.0,1.0,1.0,0
com.sun.jdi.Bootstrap,2.0,1.0,0.0,5.0,4.0,1.0,0.0,5.0,2.0,2.0,8.0,1.0,0.0,0.0,0.5,0.0,0.0,2.5,1.0,1.0,1
com.sun.jdi.ByteType,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
com.sun.jdi.ByteValue,3.0,1.0,0.0,5.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.666666666667,1.0,1.0,0.0,1.0,1.0,0
com.sun.jdi.CharType,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
com.sun.jdi.CharValue,3.0,1.0,0.0,5.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.666666666667,1.0,1.0,0.0,1.0,1.0,0
com.sun.jdi.ClassLoaderReference,2.0,1.0,0.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
com.sun.jdi.ClassNotLoadedException,3.0,3.0,0.0,12.0,5.0,0.0,8.0,4.0,3.0,0.0,20.0,1.0,0.0,0.954545454545,0.833333333333,0.0,0.0,5.33333333333,1.0,1.0,0
com.sun.jdi.ClassNotPreparedException,2.0,4.0,0.0,4.0,4.0,1.0,0.0,4.0,2.0,2.0,9.0,0.0,0.0,1.0,0.75,0.0,0.0,3.5,1.0,1.0,0
com.sun.jdi.ClassObjectReference,1.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
com.sun.jdi.ClassType,8.0,1.0,0.0,14.0,8.0,28.0,0.0,14.0,8.0,1.14285714286,9.0,0.0,0.0,0.0,0.296875,0.0,0.0,0.0,1.0,1.0,0
com.sun.jdi.DoubleType,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
com.sun.jdi.DoubleValue,3.0,1.0,0.0,5.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.666666666667,1.0,1.0,0.0,1.0,1.0,0
