name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
com.ctc.wstx.api.CommonConfig,12.0,1.0,3.0,13.0,24.0,64.0,3.0,10.0,3.0,1.01515151515,178.0,0.333333333333,0.0,0.0,0.568181818182,0.0,0.0,13.3333333333,1.75,3.0,0
com.ctc.wstx.api.ReaderConfig,90.0,0.0,0.0,57.0,132.0,3735.0,30.0,29.0,85.0,0.974935177182,1517.0,0.0,3.0,0.0,0.120138288678,0.0,0.0,15.2777777778,1.51111111111,19.0,0
com.ctc.wstx.api.ValidatorConfig,6.0,0.0,0.0,6.0,7.0,13.0,2.0,4.0,1.0,0.8,23.0,0.0,1.0,0.0,0.45,0.0,0.0,2.66666666667,1.0,1.0,0
com.ctc.wstx.api.WriterConfig,47.0,0.0,0.0,30.0,70.0,993.0,14.0,16.0,41.0,0.970410628019,755.0,0.166666666667,3.0,0.0,0.18115942029,0.0,0.0,14.2978723404,1.46808510638,12.0,0
com.ctc.wstx.api.WstxInputProperties,2.0,1.0,0.0,5.0,4.0,1.0,1.0,4.0,1.0,1.84210526316,37.0,0.0,3.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,0
com.ctc.wstx.api.WstxInputProperties$ParsingMode,1.0,1.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0
com.ctc.wstx.api.WstxOutputProperties,1.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0
com.ctc.wstx.cfg.ErrorConsts,3.0,1.0,0.0,31.0,8.0,3.0,26.0,5.0,2.0,1.0,219.0,0.0,0.0,0.0,0.5,0.0,0.0,52.3333333333,1.33333333333,2.0,58
com.ctc.wstx.cfg.InputConfigFlags,0.0,1.0,0.0,6.0,0.0,0.0,4.0,2.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
com.ctc.wstx.cfg.OutputConfigFlags,0.0,1.0,0.0,7.0,0.0,0.0,5.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
com.ctc.wstx.cfg.ParsingErrorMsgs,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
com.ctc.wstx.cfg.XmlConsts,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
com.ctc.wstx.compat.Jdk12Impl,10.0,0.0,1.0,12.0,18.0,31.0,1.0,11.0,9.0,0.777777777778,78.0,1.0,0.0,0.0,0.35,0.0,0.0,6.5,1.0,1.0,0
com.ctc.wstx.compat.Jdk13Impl,6.0,0.0,1.0,8.0,7.0,15.0,1.0,7.0,5.0,2.0,22.0,0.0,0.0,0.0,0.583333333333,0.0,0.0,2.66666666667,1.0,1.0,0
com.ctc.wstx.compat.Jdk14Impl,7.0,0.0,0.0,7.0,12.0,21.0,0.0,7.0,6.0,2.0,41.0,0.0,0.0,0.0,0.392857142857,0.0,0.0,4.85714285714,1.0,1.0,0
com.ctc.wstx.compat.Jdk14Impl$LimitMap,2.0,4.0,0.0,5.0,4.0,0.0,1.0,4.0,2.0,0.0,26.0,0.0,0.0,0.988505747126,0.625,1.0,1.0,11.5,2.0,2.0,0
com.ctc.wstx.compat.JdkFeatures,3.0,1.0,0.0,22.0,15.0,1.0,12.0,10.0,2.0,0.5,116.0,1.0,1.0,0.0,0.5,0.0,0.0,37.0,3.66666666667,8.0,0
com.ctc.wstx.compat.JdkImpl,9.0,1.0,1.0,22.0,10.0,36.0,15.0,7.0,8.0,2.0,12.0,0.0,0.0,0.0,0.444444444444,0.0,0.0,0.333333333333,1.0,1.0,0
com.ctc.wstx.compat.JdkInfo,4.0,1.0,0.0,13.0,20.0,6.0,1.0,12.0,3.0,1.33333333333,154.0,0.0,0.0,0.0,0.25,0.0,0.0,37.25,4.5,13.0,0
com.ctc.wstx.dom.DOMWrappingReader,88.0,1.0,0.0,44.0,152.0,1896.0,1.0,43.0,83.0,0.849529780564,1919.0,1.0,1.0,0.0,0.113636363636,0.0,0.0,20.6818181818,2.20454545455,16.0,2
com.ctc.wstx.dom.DOMWrappingWriter,50.0,1.0,0.0,17.0,63.0,1213.0,0.0,17.0,49.0,0.954081632653,177.0,1.0,1.0,0.0,0.141428571429,0.0,0.0,2.46,1.06,4.0,1
com.ctc.wstx.dtd.ChoiceContentSpec,8.0,0.0,0.0,19.0,27.0,8.0,1.0,18.0,5.0,0.285714285714,255.0,0.0,1.0,0.0,0.45,0.0,0.0,30.5,2.75,5.0,0
com.ctc.wstx.dtd.ChoiceContentSpec$Validator,4.0,0.0,0.0,9.0,13.0,0.0,1.0,8.0,4.0,0.0,156.0,0.0,1.0,0.0,0.4375,0.0,0.0,37.25,4.5,8.0,0
com.ctc.wstx.dtd.ChoiceModel,8.0,0.0,0.0,8.0,22.0,0.0,1.0,7.0,7.0,0.714285714286,206.0,0.0,1.0,0.0,0.325,0.0,0.0,24.25,2.375,3.0,0
com.ctc.wstx.dtd.ConcatModel,8.0,0.0,0.0,11.0,23.0,0.0,4.0,7.0,8.0,0.6,183.0,0.0,2.0,0.0,0.325,0.0,0.0,21.25,1.875,3.0,0
com.ctc.wstx.dtd.ContentSpec,6.0,1.0,3.0,9.0,7.0,9.0,5.0,4.0,6.0,0.6,22.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,2.5,1.0,1.0,0
com.ctc.wstx.dtd.DFAState,8.0,1.0,0.0,20.0,48.0,0.0,2.0,18.0,8.0,0.464285714286,331.0,0.0,0.0,0.0,0.208333333333,0.0,0.0,39.875,2.125,6.0,0
com.ctc.wstx.dtd.DFAValidator,4.0,0.0,0.0,11.0,13.0,0.0,1.0,10.0,4.0,0.0,94.0,0.0,1.0,0.0,0.5,0.0,0.0,22.25,2.0,4.0,0
com.ctc.wstx.dtd.DTDAttribute,30.0,1.0,10.0,30.0,66.0,321.0,15.0,16.0,21.0,0.969574036511,700.0,0.294117647059,2.0,0.0,0.185676392573,0.0,0.0,21.7666666667,1.3,7.0,0
com.ctc.wstx.dtd.DTDCdataAttr,6.0,0.0,0.0,11.0,7.0,15.0,1.0,10.0,6.0,2.0,33.0,0.0,0.0,0.0,0.416666666667,0.0,0.0,4.5,1.0,1.0,0
com.ctc.wstx.dtd.DTDElement,28.0,1.0,0.0,37.0,79.0,234.0,5.0,32.0,23.0,0.769841269841,735.0,0.0,4.0,0.0,0.163265306122,0.0,0.0,24.75,1.28571428571,2.0,2
