name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
Launcher,,,,,,,,,,,,,,,,,,,,,1
Launcher$1,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$1,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$10,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$11,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$12,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$1ViewButtonListener,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$2,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$3,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$4,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$5,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$6,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$7,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$8,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$9,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$AlignedLabel,,,,,,,,,,,,,,,,,,,,,1
com.birosoft.liquid.FileChooserBasicUI$ButtonAreaLayout,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$DelayedSelectionUpdater,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$DetailsTableCellRenderer,,,,,,,,,,,,,,,,,,,,,2
com.birosoft.liquid.FileChooserBasicUI$DetailsTableModel,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$DirectoryComboBoxAction,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$DirectoryComboBoxModel,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$DirectoryComboBoxRenderer,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$EditActionListener,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$FileRenderer,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$FilterComboBoxModel,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.FileChooserBasicUI$FilterComboBoxRenderer,,,,,,,,,,,,,,,,,,,,,1
com.birosoft.liquid.FileChooserBasicUI$IndentIcon,,,,,,,,,,,,,,,,,,,,,1
com.birosoft.liquid.FileChooserBasicUI$SingleClickListener,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.LiquidButtonUI,,,,,,,,,,,,,,,,,,,,,3
com.birosoft.liquid.LiquidButtonUI$1,,,,,,,,,,,,,,,,,,,,,0
com.birosoft.liquid.LiquidCheckBoxIcon,,,,,,,,,,,,,,,,,,,,,2
com.birosoft.liquid.LiquidCheckBoxMenuItemUI,,,,,,,,,,,,,,,,,,,,,0
