name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
JDOMAbout,2.0,1.0,0.0,12.0,14.0,1.0,2.0,12.0,2.0,2.0,145.0,0.0,0.0,0.0,0.5,0.0,0.0,71.5,1.0,1.0,0
JDOMAbout$1,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JDOMAbout$Author,2.0,1.0,0.0,6.0,3.0,1.0,2.0,5.0,0.0,1.33333333333,15.0,0.333333333333,1.0,0.0,0.833333333333,0.0,0.0,5.0,1.0,1.0,1
JDOMAbout$Info,1.0,1.0,0.0,19.0,21.0,0.0,1.0,19.0,0.0,2.0,150.0,0.111111111111,1.0,0.0,1.0,0.0,0.0,140.0,1.0,1.0,1
accessories.plugins.AutomaticLayout,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.BlinkingNodeHook,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.BlinkingNodeHook$TimerColorChanger,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.BlinkingNodeHook$TimerColorChanger$1,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.CreationModificationPlugin,,,,,,,,,,,,,,,,,,,,,3
accessories.plugins.EncryptNode,,,,,,,,,,,,,,,,,,,,,1
accessories.plugins.EncryptNode$1,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.EncryptNode$Registration,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.ExportToImage,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.ExportToImage$ImageSelection,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.ExportToOoWriter,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.ExportWithXSLT,,,,,,,,,,,,,,,,,,,,,2
accessories.plugins.FitToPage,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.FormatNewNodes,,,,,,,,,,,,,,,,,,,,,2
accessories.plugins.FormatPaste,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.FormularEditor,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.FormularEditor$CheckBoxEntity,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.FormularEditor$CheckBoxEntity$1,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.FormularEditor$ChoiceEntity,,,,,,,,,,,,,,,,,,,,,1
accessories.plugins.FormularEditor$ChoiceEntity$1,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.FormularEditor$ChoiceEntity$ChoiceElement,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.FormularEditor$FormularEntity,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.FormularEditor$StringEntity,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.FormularEditor$StringEntity$1,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.HierarchicalIcons,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.IconSelectionPlugin,,,,,,,,,,,,,,,,,,,,,2
accessories.plugins.ImportMindmanagerFiles,,,,,,,,,,,,,,,,,,,,,2
accessories.plugins.NewParentNode,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.NodeNote,,,,,,,,,,,,,,,,,,,,,3
accessories.plugins.NodeNote$1,,,,,,,,,,,,,,,,,,,,,1
accessories.plugins.NodeNote$NodeTextListener,,,,,,,,,,,,,,,,,,,,,1
accessories.plugins.RevisionPlugin,,,,,,,,,,,,,,,,,,,,,1
accessories.plugins.UnfoldAll,,,,,,,,,,,,,,,,,,,,,0
accessories.plugins.UnfoldAll$Registration,,,,,,,,,,,,,,,,,,,,,0
