name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
JDOMAbout,2.0,1.0,0.0,12.0,15.0,1.0,2.0,12.0,2.0,2.0,142.0,0.0,0.0,0.0,0.5,0.0,0.0,70.0,1.0,1.0,0
JDOMAbout$Author,1.0,1.0,0.0,5.0,2.0,0.0,2.0,4.0,0.0,2.0,10.0,0.333333333333,1.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,1
JDOMAbout$Info,1.0,1.0,0.0,19.0,22.0,0.0,1.0,19.0,0.0,2.0,152.0,0.111111111111,1.0,0.0,1.0,0.0,0.0,142.0,1.0,1.0,1
cirrus.hibernate.AssertionFailure,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.CallbackException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.Databinder,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.Datastore,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.Environment,,,,,,,,,,,,,,,,,,,,,1
cirrus.hibernate.Hibernate,,,,,,,,,,,,,,,,,,,,,1
cirrus.hibernate.HibernateException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.InstantiationException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.LazyInitializationException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.Lifecycle,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.MappingException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.ObjectDeletedException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.ObjectNotFoundException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.Persistent,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.PersistentEnum,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.PersistentLifecycle,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.PersistentObjectException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.PropertyAccessException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.QueryException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.Session,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.SessionFactory,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.StaleObjectStateException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.Transaction,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.TransactionException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.TransientObjectException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.UserType,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.cache.BlockingCache,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.cache.Cache,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.cache.CacheDeadlockException,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.cache.CachingStrategy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.cache.HashBelt,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.cache.LockingCache,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.cache.ReadOnlyCache,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.cfg.Configuration,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.ArrayHolder,,,,,,,,,,,,,,,,,,,,,2
cirrus.hibernate.collections.DeepLazyMap,,,,,,,,,,,,,,,,,,,,,4
cirrus.hibernate.collections.DeepLazyMap$DLValue,,,,,,,,,,,,,,,,,,,,,1
cirrus.hibernate.collections.DeepLazyMap$EntryIteratorProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.DeepLazyMap$EntrySetProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.DeepLazyMap$FilterIteratorProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.DeepLazyMap$KeyIteratorProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.DeepLazyMap$KeySetProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.DeepLazyMap$MapEntryProxy,,,,,,,,,,,,,,,,,,,,,1
cirrus.hibernate.collections.DeepLazyMap$ValueCollectionProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.DeepLazyMap$ValueIteratorProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.List,,,,,,,,,,,,,,,,,,,,,1
cirrus.hibernate.collections.List$ListIteratorProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.Map,,,,,,,,,,,,,,,,,,,,,1
cirrus.hibernate.collections.Map$EntryIteratorProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.Map$EntrySetProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.Map$MapEntryProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.PersistentCollection,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.PersistentCollection$IteratorProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.PersistentCollection$SetProxy,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.Set,,,,,,,,,,,,,,,,,,,,,1
cirrus.hibernate.collections.SortedMap,,,,,,,,,,,,,,,,,,,,,1
cirrus.hibernate.collections.SortedMap$SortedSubMap,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.collections.SortedSet,,,,,,,,,,,,,,,,,,,,,1
cirrus.hibernate.collections.SortedSet$SubSetProxy,,,,,,,,,,,,,,,,,,,,,6
cirrus.hibernate.connection.C3P0ConnectionProvider,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.connection.ConnectionProvider,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.connection.ConnectionProviderFactory,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.connection.DatasourceConnectionProvider,,,,,,,,,,,,,,,,,,,,,0
cirrus.hibernate.connection.DriverManagerConnectionProvider,,,,,,,,,,,,,,,,,,,,,0
