name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
JDOMAbout,2.0,1.0,0.0,12.0,15.0,1.0,2.0,12.0,2.0,2.0,142.0,0.0,0.0,0.0,0.5,0.0,0.0,70.0,1.0,1.0,0
JDOMAbout$Author,1.0,1.0,0.0,5.0,2.0,0.0,2.0,4.0,0.0,2.0,10.0,0.333333333333,1.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,1
JDOMAbout$Info,1.0,1.0,0.0,19.0,22.0,0.0,1.0,19.0,0.0,2.0,152.0,0.111111111111,1.0,0.0,1.0,0.0,0.0,142.0,1.0,1.0,1
com.mchange.lang.PotentiallySecondary,1.0,1.0,0.0,5.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
com.mchange.lang.PotentiallySecondaryError,8.0,3.0,0.0,9.0,13.0,16.0,0.0,9.0,8.0,0.571428571429,67.0,0.0,0.0,0.84,0.35,1.0,1.0,7.125,1.25,2.0,0
com.mchange.lang.PotentiallySecondaryException,8.0,3.0,1.0,12.0,13.0,16.0,3.0,9.0,8.0,0.571428571429,67.0,0.0,0.0,0.84,0.35,1.0,1.0,7.125,1.25,2.0,0
com.mchange.lang.PotentiallySecondaryRuntimeException,8.0,4.0,0.0,9.0,13.0,16.0,0.0,9.0,8.0,0.571428571429,67.0,0.0,0.0,0.84,0.35,1.0,1.0,7.125,1.25,2.0,0
com.mchange.lang.ThrowableUtils,4.0,1.0,0.0,10.0,10.0,6.0,1.0,9.0,3.0,2.0,41.0,0.0,0.0,0.0,0.5,0.0,0.0,9.25,1.75,3.0,0
com.mchange.util.AssertException,2.0,4.0,0.0,5.0,4.0,1.0,1.0,4.0,2.0,2.0,9.0,0.0,0.0,1.0,0.75,0.0,0.0,3.5,1.0,1.0,0
com.mchange.util.DebugUtils,3.0,1.0,0.0,6.0,6.0,3.0,2.0,4.0,2.0,2.0,21.0,0.0,0.0,0.0,0.444444444444,0.0,0.0,6.0,1.66666666667,2.0,2
com.mchange.v1.db.sql.ConnectionUtils,3.0,1.0,0.0,18.0,7.0,3.0,13.0,5.0,2.0,2.0,28.0,0.0,0.0,0.0,0.5,0.0,0.0,8.33333333333,1.66666666667,2.0,0
com.mchange.v1.db.sql.ResultSetUtils,2.0,1.0,0.0,11.0,5.0,1.0,6.0,5.0,1.0,2.0,16.0,0.0,0.0,0.0,0.5,0.0,0.0,7.0,1.5,2.0,0
com.mchange.v1.db.sql.StatementUtils,2.0,1.0,0.0,15.0,5.0,1.0,10.0,5.0,1.0,2.0,16.0,0.0,0.0,0.0,0.5,0.0,0.0,7.0,1.5,2.0,0
com.mchange.v1.identicator.IdHashKey,5.0,1.0,2.0,10.0,6.0,8.0,7.0,3.0,5.0,0.75,15.0,0.0,1.0,0.0,0.466666666667,1.0,1.0,1.8,1.0,1.0,0
com.mchange.v1.identicator.IdHashMap,2.0,0.0,0.0,9.0,5.0,1.0,1.0,8.0,1.0,2.0,16.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,7.0,1.0,1.0,0
com.mchange.v1.identicator.IdMap,11.0,2.0,2.0,14.0,21.0,13.0,4.0,11.0,5.0,0.7,81.0,0.0,1.0,0.642857142857,0.318181818182,1.0,6.0,6.18181818182,1.0,1.0,0
com.mchange.v1.identicator.IdMap$1,2.0,0.0,0.0,8.0,4.0,1.0,2.0,7.0,0.0,1.0,17.0,1.0,1.0,0.0,0.6,0.0,0.0,7.0,1.0,1.0,0
com.mchange.v1.identicator.IdMap$UserEntry,4.0,0.0,1.0,7.0,9.0,0.0,2.0,5.0,3.0,0.0,26.0,1.0,0.0,0.0,0.5,0.0,0.0,5.25,1.0,1.0,0
com.mchange.v1.identicator.IdMap$UserEntrySet,7.0,3.0,0.0,9.0,16.0,0.0,2.0,9.0,5.0,0.25,75.0,0.5,1.0,0.791666666667,0.428571428571,2.0,9.0,9.42857142857,1.28571428571,2.0,0
com.mchange.v1.identicator.IdWeakHashMap,18.0,0.0,0.0,17.0,39.0,147.0,2.0,16.0,15.0,0.0,253.0,0.0,0.0,0.0,0.3,0.0,0.0,13.0,2.5,3.0,0
com.mchange.v1.identicator.IdWeakHashMap$1,2.0,0.0,0.0,9.0,6.0,1.0,3.0,8.0,0.0,1.0,30.0,1.0,1.0,0.0,0.6,0.0,0.0,13.5,1.5,2.0,0
com.mchange.v1.identicator.IdWeakHashMap$2,1.0,0.0,0.0,5.0,2.0,0.0,1.0,5.0,0.0,2.0,18.0,0.666666666667,1.0,0.0,1.0,0.0,0.0,14.0,1.0,1.0,1
com.mchange.v1.identicator.IdWeakHashMap$WeakUserEntrySet,7.0,3.0,0.0,10.0,17.0,0.0,2.0,10.0,5.0,0.0833333333333,130.0,0.5,1.0,0.791666666667,0.428571428571,2.0,9.0,17.2857142857,2.71428571429,5.0,0
com.mchange.v1.identicator.Identicator,2.0,1.0,0.0,11.0,2.0,1.0,9.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
com.mchange.v1.identicator.StrongIdHashKey,4.0,0.0,0.0,5.0,7.0,0.0,1.0,4.0,4.0,0.0,35.0,0.0,0.0,0.0,0.583333333333,0.0,0.0,7.5,1.25,2.0,0
com.mchange.v1.identicator.WeakIdHashKey,5.0,0.0,0.0,10.0,11.0,0.0,2.0,9.0,5.0,0.5,76.0,0.0,1.0,0.0,0.45,0.0,0.0,13.8,2.0,5.0,0
com.mchange.v1.identicator.WeakIdHashKey$Ref,2.0,3.0,0.0,6.0,3.0,0.0,2.0,5.0,1.0,0.0,14.0,1.0,1.0,0.833333333333,0.625,0.0,0.0,5.5,1.0,1.0,0
com.mchange.v1.io.InputStreamUtils,13.0,1.0,0.0,15.0,31.0,76.0,2.0,13.0,11.0,0.916666666667,208.0,1.0,0.0,0.0,0.3,0.0,0.0,14.9230769231,1.0,1.0,0
com.mchange.v1.io.OutputStreamUtils,2.0,1.0,0.0,6.0,5.0,1.0,1.0,5.0,1.0,2.0,14.0,0.0,0.0,0.0,0.5,0.0,0.0,6.0,1.0,1.0,0
