name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
EDU.oswego.cs.dl.util.concurrent.Barrier,2.0,1.0,0.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.BoundedBuffer,13.0,1.0,0.0,8.0,22.0,4.0,0.0,8.0,9.0,0.444444444444,394.0,1.0,0.0,0.0,0.365384615385,0.0,0.0,28.8461538462,1.23076923077,2.0,0
EDU.oswego.cs.dl.util.concurrent.BoundedChannel,1.0,1.0,0.0,7.0,1.0,0.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.BoundedLinkedQueue,15.0,1.0,0.0,10.0,26.0,29.0,1.0,9.0,11.0,0.591836734694,530.0,1.0,2.0,0.0,0.366666666667,0.0,0.0,33.8666666667,1.33333333333,2.0,4
EDU.oswego.cs.dl.util.concurrent.BoundedPriorityQueue,8.0,0.0,0.0,13.0,15.0,8.0,0.0,13.0,6.0,0.0,60.0,1.0,1.0,0.0,0.4,0.0,0.0,6.375,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.BrokenBarrierException,2.0,4.0,0.0,6.0,4.0,0.0,2.0,4.0,2.0,0.0,16.0,0.0,0.0,1.0,0.833333333333,0.0,0.0,6.5,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.Callable,1.0,1.0,0.0,5.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.Channel,5.0,1.0,0.0,13.0,5.0,10.0,8.0,5.0,5.0,2.0,5.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.ClockDaemon,10.0,0.0,0.0,14.0,34.0,1.0,1.0,14.0,8.0,0.444444444444,190.0,1.0,2.0,0.0,0.283333333333,0.0,0.0,17.7,1.7,4.0,0
EDU.oswego.cs.dl.util.concurrent.ClockDaemon$RunLoop,2.0,1.0,0.0,5.0,6.0,0.0,1.0,5.0,1.0,0.0,30.0,1.0,1.0,0.0,0.75,0.0,0.0,13.5,1.5,2.0,0
EDU.oswego.cs.dl.util.concurrent.ClockDaemon$TaskNode,7.0,1.0,0.0,6.0,8.0,9.0,2.0,4.0,1.0,0.625,67.0,0.5,0.0,0.0,0.464285714286,0.0,0.0,8.0,1.28571428571,3.0,1
EDU.oswego.cs.dl.util.concurrent.ConcurrentHashMap,31.0,2.0,0.0,29.0,62.0,297.0,6.0,28.0,20.0,0.840476190476,1186.0,0.857142857143,2.0,0.409090909091,0.204166666667,2.0,11.0,36.8064516129,2.83870967742,10.0,4
EDU.oswego.cs.dl.util.concurrent.ConcurrentHashMap$1,0.0,1.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentHashMap$Entry,7.0,1.0,0.0,8.0,17.0,0.0,2.0,6.0,6.0,0.625,91.0,1.0,1.0,0.0,0.428571428571,1.0,1.0,11.4285714286,1.57142857143,4.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentHashMap$EntrySet,7.0,3.0,0.0,8.0,16.0,0.0,1.0,8.0,5.0,0.0,77.0,1.0,1.0,0.791666666667,0.428571428571,2.0,10.0,9.85714285714,1.71428571429,4.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentHashMap$HashIterator,7.0,1.0,2.0,12.0,12.0,5.0,3.0,9.0,5.0,0.5,177.0,1.0,4.0,0.0,0.571428571429,0.0,0.0,23.2857142857,2.28571428571,6.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentHashMap$KeyIterator,2.0,0.0,0.0,5.0,3.0,1.0,2.0,4.0,0.0,1.0,13.0,1.0,1.0,0.0,0.75,0.0,0.0,5.0,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentHashMap$KeySet,7.0,3.0,0.0,7.0,13.0,0.0,1.0,7.0,5.0,0.0,46.0,1.0,1.0,0.791666666667,0.428571428571,2.0,9.0,5.42857142857,1.14285714286,2.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentHashMap$Segment,3.0,1.0,0.0,4.0,4.0,3.0,2.0,2.0,0.0,1.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,2.33333333333,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentHashMap$ValueIterator,2.0,0.0,0.0,5.0,3.0,1.0,2.0,4.0,0.0,1.0,13.0,1.0,1.0,0.0,0.75,0.0,0.0,5.0,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentHashMap$Values,6.0,2.0,0.0,7.0,11.0,0.0,1.0,7.0,4.0,0.0,36.0,1.0,1.0,0.8,0.416666666667,1.0,5.0,4.83333333333,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap,34.0,2.0,0.0,31.0,66.0,349.0,6.0,30.0,22.0,0.797202797203,1178.0,0.846153846154,2.0,0.382978723404,0.204545454545,2.0,10.0,33.2647058824,2.88235294118,11.0,4
EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$1,0.0,1.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$BarrierLock,1.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$Entry,7.0,1.0,0.0,8.0,17.0,0.0,2.0,6.0,6.0,0.625,91.0,1.0,1.0,0.0,0.428571428571,1.0,1.0,11.4285714286,1.57142857143,4.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$EntrySet,7.0,3.0,0.0,8.0,16.0,0.0,1.0,8.0,5.0,0.0,68.0,1.0,1.0,0.791666666667,0.428571428571,2.0,10.0,8.57142857143,1.57142857143,4.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$HashIterator,7.0,1.0,2.0,11.0,12.0,5.0,3.0,8.0,5.0,0.5,148.0,1.0,4.0,0.0,0.571428571429,0.0,0.0,19.1428571429,2.14285714286,6.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$KeyIterator,2.0,0.0,0.0,5.0,3.0,1.0,2.0,4.0,0.0,1.0,13.0,1.0,1.0,0.0,0.75,0.0,0.0,5.0,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$KeySet,7.0,3.0,0.0,7.0,13.0,0.0,1.0,7.0,5.0,0.0,46.0,1.0,1.0,0.791666666667,0.428571428571,2.0,9.0,5.42857142857,1.14285714286,2.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$ValueIterator,2.0,0.0,0.0,5.0,3.0,1.0,2.0,4.0,0.0,1.0,13.0,1.0,1.0,0.0,0.75,0.0,0.0,5.0,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.ConcurrentReaderHashMap$Values,6.0,2.0,0.0,7.0,11.0,0.0,1.0,7.0,4.0,0.0,36.0,1.0,1.0,0.8,0.416666666667,1.0,5.0,4.83333333333,1.0,1.0,0
EDU.oswego.cs.dl.util.concurrent.CondVar,5.0,1.0,0.0,6.0,17.0,4.0,0.0,6.0,5.0,0.5,142.0,1.0,1.0,0.0,0.466666666667,0.0,0.0,27.2,1.0,1.0,4
EDU.oswego.cs.dl.util.concurrent.CopyOnWriteArrayList,42.0,1.0,0.0,24.0,75.0,481.0,3.0,22.0,36.0,0.0975609756098,1322.0,1.0,0.0,0.0,0.275510204082,1.0,1.0,30.4523809524,2.95238095238,10.0,3
EDU.oswego.cs.dl.util.concurrent.CopyOnWriteArrayList$COWIterator,10.0,1.0,0.0,7.0,13.0,3.0,1.0,6.0,9.0,0.5,90.0,1.0,0.0,0.0,0.35,0.0,0.0,7.8,1.2,2.0,0
EDU.oswego.cs.dl.util.concurrent.CopyOnWriteArrayList$COWSubList,11.0,3.0,0.0,12.0,25.0,0.0,2.0,12.0,8.0,0.225,328.0,1.0,1.0,0.772727272727,0.5,2.0,10.0,28.4545454545,1.81818181818,3.0,1
EDU.oswego.cs.dl.util.concurrent.CopyOnWriteArrayList$COWSubList$COWSubListIterator,10.0,1.0,0.0,7.0,18.0,19.0,1.0,7.0,9.0,0.555555555556,98.0,1.0,1.0,0.0,0.35,0.0,0.0,8.5,1.4,2.0,0
EDU.oswego.cs.dl.util.concurrent.CopyOnWriteArraySet,15.0,3.0,0.0,9.0,30.0,0.0,1.0,8.0,15.0,0.0,101.0,1.0,1.0,0.59375,0.4,2.0,11.0,5.66666666667,1.06666666667,2.0,1
EDU.oswego.cs.dl.util.concurrent.CountDown,6.0,1.0,0.0,6.0,13.0,0.0,0.0,6.0,6.0,0.5,117.0,1.0,0.0,0.0,0.444444444444,0.0,0.0,18.1666666667,1.16666666667,2.0,0
EDU.oswego.cs.dl.util.concurrent.CyclicBarrier,9.0,1.0,0.0,11.0,21.0,14.0,0.0,11.0,8.0,0.325,222.0,1.0,0.0,0.0,0.355555555556,0.0,0.0,23.1111111111,1.11111111111,2.0,0
EDU.oswego.cs.dl.util.concurrent.DefaultChannelCapacity,4.0,1.0,0.0,8.0,9.0,0.0,4.0,4.0,3.0,0.833333333333,29.0,0.5,1.0,0.0,0.333333333333,0.0,0.0,5.75,1.25,2.0,0
