name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
Installer,8.0,1.0,0.0,54.0,125.0,16.0,2.0,54.0,5.0,0.825892857143,914.0,0.09375,0.0,0.0,0.428571428571,0.0,0.0,109.25,5.0,16.0,7
Installer,8.0,1.0,0.0,54.0,125.0,16.0,2.0,54.0,5.0,0.825892857143,914.0,0.09375,0.0,0.0,0.428571428571,0.0,0.0,109.25,5.0,16.0,7
Installer$1,2.0,1.0,0.0,7.0,5.0,0.0,1.0,6.0,1.0,0.0,20.0,1.0,0.0,0.0,0.625,0.0,0.0,8.0,1.0,1.0,0
Installer$1,2.0,1.0,0.0,7.0,5.0,0.0,1.0,6.0,1.0,0.0,20.0,1.0,0.0,0.0,0.625,0.0,0.0,8.0,1.0,1.0,0
Installer$2,2.0,1.0,0.0,7.0,4.0,0.0,1.0,7.0,1.0,0.0,25.0,1.0,1.0,0.0,0.6,0.0,0.0,10.0,1.0,1.0,0
Installer$2,2.0,1.0,0.0,7.0,4.0,0.0,1.0,7.0,1.0,0.0,25.0,1.0,1.0,0.0,0.6,0.0,0.0,10.0,1.0,1.0,0
Installer$3,2.0,1.0,0.0,10.0,5.0,0.0,1.0,10.0,1.0,0.0,18.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,7.5,1.0,1.0,1
Installer$3,2.0,1.0,0.0,10.0,5.0,0.0,1.0,10.0,1.0,0.0,18.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,7.5,1.0,1.0,1
com.jgraph.algebra.JGraphAlgebra,,,,,,,,,,,,,,,,,,,,,3
com.jgraph.algebra.JGraphAlgebra$1,,,,,,,,,,,,,,,,,,,,,0
com.jgraph.algebra.JGraphFibonacciHeap,,,,,,,,,,,,,,,,,,,,,0
com.jgraph.algebra.JGraphFibonacciHeap$Node,,,,,,,,,,,,,,,,,,,,,0
com.jgraph.algebra.JGraphUnionFind,,,,,,,,,,,,,,,,,,,,,0
com.jgraph.algebra.JGraphUnionFind$Node,,,,,,,,,,,,,,,,,,,,,1
com.jgraph.algebra.cost.JGraphConstantCostFunction,,,,,,,,,,,,,,,,,,,,,0
com.jgraph.algebra.cost.JGraphCostFunction,,,,,,,,,,,,,,,,,,,,,0
com.jgraph.algebra.cost.JGraphDistanceCostFunction,,,,,,,,,,,,,,,,,,,,,0
