name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
Installer,8.0,1.0,0.0,54.0,125.0,16.0,2.0,54.0,5.0,0.825892857143,914.0,0.09375,0.0,0.0,0.428571428571,0.0,0.0,109.25,5.0,16.0,7
Installer$1,2.0,1.0,0.0,7.0,5.0,0.0,1.0,6.0,1.0,0.0,20.0,1.0,0.0,0.0,0.625,0.0,0.0,8.0,1.0,1.0,0
Installer$2,2.0,1.0,0.0,7.0,4.0,0.0,1.0,7.0,1.0,0.0,25.0,1.0,1.0,0.0,0.6,0.0,0.0,10.0,1.0,1.0,0
Installer$3,2.0,1.0,0.0,10.0,5.0,0.0,1.0,10.0,1.0,0.0,18.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,7.5,1.0,1.0,1
org.jgraph.JGraph,,,,,,,,,,,,,,,,,,,,,1
org.jgraph.JGraph$EmptySelectionModel,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.JGraph$GraphSelectionRedirector,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.event.GraphLayoutCacheEvent,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.event.GraphLayoutCacheEvent$GraphLayoutCacheChange,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.event.GraphLayoutCacheListener,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.event.GraphModelEvent,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.event.GraphModelEvent$GraphModelChange,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.event.GraphModelListener,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.event.GraphSelectionEvent,,,,,,,,,,,,,,,,,,,,,2
org.jgraph.event.GraphSelectionListener,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.AbstractCellView,,,,,,,,,,,,,,,,,,,,,1
org.jgraph.graph.AttributeMap,,,,,,,,,,,,,,,,,,,,,1
org.jgraph.graph.AttributeMap$1,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.AttributeMap$SerializablePoint2D,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.AttributeMap$SerializableRectangle2D,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.BasicMarqueeHandler,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.CellHandle,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.CellMapper,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.CellView,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.CellViewFactory,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.CellViewRenderer,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.ConnectionSet,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.ConnectionSet$Connection,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.DefaultCellViewFactory,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.DefaultEdge,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.DefaultEdge$DefaultRouting,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.DefaultEdge$LoopRouting,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.DefaultGraphCell,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.DefaultGraphCellEditor,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.DefaultGraphCellEditor$1,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.DefaultGraphCellEditor$DefaultTextField,,,,,,,,,,,,,,,,,,,,,1
org.jgraph.graph.DefaultGraphCellEditor$EditorContainer,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.DefaultGraphModel,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.DefaultGraphModel$1,,,,,,,,,,,,,,,,,,,,,0
org.jgraph.graph.DefaultGraphModel$EmptyIterator,,,,,,,,,,,,,,,,,,,,,1
org.jgraph.graph.DefaultGraphModel$GraphModelEdit,,,,,,,,,,,,,,,,,,,,,8
org.jgraph.graph.DefaultGraphModel$GraphModelLayerEdit,,,,,,,,,,,,,,,,,,,,,2
org.jgraph.graph.DefaultGraphSelectionModel,,,,,,,,,,,,,,,,,,,,,2
org.jgraph.graph.DefaultGraphSelectionModel$CellPlaceHolder,,,,,,,,,,,,,,,,,,,,,1
org.jgraph.graph.DefaultPort,,,,,,,,,,,,,,,,,,,,,0
