name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
bsh.BSHAllocationExpression,,,,,,,,,,,,,,,,,,,,,1
bsh.BSHAmbiguousName,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHArguments,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHArrayDimensions,,,,,,,,,,,,,,,,,,,,,1
bsh.BSHArrayInitializer,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHAssignment,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHBinaryExpression,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHBlock,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHBlock$NodeFilter,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHCastExpression,,,,,,,,,,,,,,,,,,,,,2
bsh.BSHClassDeclaration,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHEnhancedForStatement,,,,,,,,,,,,,,,,,,,,,1
bsh.BSHForStatement,,,,,,,,,,,,,,,,,,,,,1
bsh.BSHFormalComment,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHFormalParameter,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHFormalParameters,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHIfStatement,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHImportDeclaration,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHLiteral,,,,,,,,,,,,,,,,,,,,,2
bsh.BSHMethodDeclaration,,,,,,,,,,,,,,,,,,,,,1
bsh.BSHMethodInvocation,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHPackageDeclaration,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHPrimaryExpression,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHPrimarySuffix,,,,,,,,,,,,,,,,,,,,,1
bsh.BSHPrimitiveType,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHReturnStatement,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHReturnType,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHStatementExpressionList,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHSwitchLabel,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHSwitchStatement,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHTernaryExpression,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHThrowStatement,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHTryStatement,,,,,,,,,,,,,,,,,,,,,2
bsh.BSHType,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHTypedVariableDeclaration,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHUnaryExpression,,,,,,,,,,,,,,,,,,,,,6
bsh.BSHVariableDeclarator,,,,,,,,,,,,,,,,,,,,,0
bsh.BSHWhileStatement,,,,,,,,,,,,,,,,,,,,,1
bsh.BlockNameSpace,,,,,,,,,,,,,,,,,,,,,0
bsh.BshClassManager,,,,,,,,,,,,,,,,,,,,,1
bsh.BshClassManager$Listener,,,,,,,,,,,,,,,,,,,,,0
bsh.BshClassManager$SignatureKey,,,,,,,,,,,,,,,,,,,,,2
bsh.BshIterator,,,,,,,,,,,,,,,,,,,,,0
bsh.BshMethod,,,,,,,,,,,,,,,,,,,,,3
bsh.CallStack,,,,,,,,,,,,,,,,,,,,,0
bsh.Capabilities,,,,,,,,,,,,,,,,,,,,,0
bsh.Capabilities$Unavailable,,,,,,,,,,,,,,,,,,,,,0
bsh.ClassGenerator,,,,,,,,,,,,,,,,,,,,,0
bsh.ClassGeneratorImpl,,,,,,,,,,,,,,,,,,,,,4
bsh.ClassGeneratorImpl$ClassNodeFilter,,,,,,,,,,,,,,,,,,,,,0
bsh.ClassGeneratorUtil,,,,,,,,,,,,,,,,,,,,,4
bsh.ClassGeneratorUtil$ConstructorArgs,,,,,,,,,,,,,,,,,,,,,2
bsh.ClassIdentifier,,,,,,,,,,,,,,,,,,,,,0
bsh.ClassPathException,,,,,,,,,,,,,,,,,,,,,0
bsh.CollectionManager,,,,,,,,,,,,,,,,,,,,,0
bsh.CollectionManager$BasicBshIterator,,,,,,,,,,,,,,,,,,,,,0
bsh.CollectionManager$BasicBshIterator$1,,,,,,,,,,,,,,,,,,,,,0
bsh.CommandLineReader,,,,,,,,,,,,,,,,,,,,,1
bsh.Console,,,,,,,,,,,,,,,,,,,,,0
bsh.ConsoleInterface,,,,,,,,,,,,,,,,,,,,,0
bsh.DelayedEvalBshMethod,,,,,,,,,,,,,,,,,,,,,3
bsh.EvalError,,,,,,,,,,,,,,,,,,,,,1
bsh.ExternalNameSpace,,,,,,,,,,,,,,,,,,,,,0
bsh.Interpreter,,,,,,,,,,,,,,,,,,,,,9
bsh.Interpreter$1,,,,,,,,,,,,,,,,,,,,,0
bsh.InterpreterError,,,,,,,,,,,,,,,,,,,,,0
bsh.JJTParserState,,,,,,,,,,,,,,,,,,,,,1
bsh.JavaCharStream,,,,,,,,,,,,,,,,,,,,,2
bsh.LHS,,,,,,,,,,,,,,,,,,,,,2
bsh.Modifiers,,,,,,,,,,,,,,,,,,,,,1
bsh.Name,,,,,,,,,,,,,,,,,,,,,1
bsh.NameSource,,,,,,,,,,,,,,,,,,,,,0
bsh.NameSource$Listener,,,,,,,,,,,,,,,,,,,,,0
bsh.NameSpace,,,,,,,,,,,,,,,,,,,,,2
bsh.Node,,,,,,,,,,,,,,,,,,,,,0
bsh.ParseException,,,,,,,,,,,,,,,,,,,,,4
bsh.Parser,,,,,,,,,,,,,,,,,,,,,83
bsh.Parser$1,,,,,,,,,,,,,,,,,,,,,0
bsh.Parser$JJCalls,,,,,,,,,,,,,,,,,,,,,0
bsh.Parser$LookaheadSuccess,,,,,,,,,,,,,,,,,,,,,0
bsh.ParserConstants,,,,,,,,,,,,,,,,,,,,,1
bsh.ParserTokenManager,,,,,,,,,,,,,,,,,,,,,8
bsh.ParserTreeConstants,,,,,,,,,,,,,,,,,,,,,1
bsh.Primitive,,,,,,,,,,,,,,,,,,,,,21
bsh.Primitive$Special,,,,,,,,,,,,,,,,,,,,,0
bsh.Reflect,,,,,,,,,,,,,,,,,,,,,0
bsh.ReflectError,,,,,,,,,,,,,,,,,,,,,0
bsh.ReflectManager,,,,,,,,,,,,,,,,,,,,,0
bsh.Remote,,,,,,,,,,,,,,,,,,,,,7
bsh.ReturnControl,,,,,,,,,,,,,,,,,,,,,0
bsh.SimpleNode,,,,,,,,,,,,,,,,,,,,,0
