name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
JDOMAbout,2.0,1.0,0.0,11.0,13.0,1.0,0.0,11.0,2.0,2.0,139.0,0.0,0.0,0.0,0.5,0.0,0.0,68.5,1.0,1.0,0
JDOMAbout$Author,1.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,0
JDOMAbout$Info,2.0,1.0,0.0,15.0,17.0,1.0,1.0,14.0,0.0,1.11111111111,112.0,0.111111111111,0.0,0.0,1.0,0.0,0.0,50.5,1.0,1.0,0
au.com.bytecode.opencsv.CSVReader,9.0,1.0,0.0,13.0,22.0,18.0,4.0,9.0,7.0,0.736111111111,263.0,0.666666666667,0.0,0.0,0.4,0.0,0.0,27.2222222222,1.0,1.0,0
au.com.bytecode.opencsv.CSVWriter,15.0,1.0,0.0,21.0,59.0,91.0,0.0,21.0,11.0,0.831632653061,458.0,0.571428571429,0.0,0.0,0.214285714286,0.0,0.0,28.6,1.8,12.0,2
au.com.bytecode.opencsv.bean.ColumnPositionMappingStrategy,5.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,4.0,0.25,37.0,1.0,0.0,0.0,0.4,0.0,0.0,6.2,1.4,3.0,2
au.com.bytecode.opencsv.bean.CsvToBean,5.0,1.0,0.0,20.0,22.0,10.0,0.0,20.0,2.0,2.0,116.0,0.0,0.0,0.0,0.4,0.0,0.0,22.2,1.2,2.0,0
au.com.bytecode.opencsv.bean.HeaderColumnNameMappingStrategy,10.0,1.0,2.0,15.0,19.0,37.0,2.0,13.0,6.0,0.777777777778,109.0,1.0,0.0,0.0,0.3,0.0,0.0,9.6,1.2,3.0,0
au.com.bytecode.opencsv.bean.HeaderColumnNameTranslateMappingStrategy,4.0,0.0,0.0,6.0,7.0,0.0,0.0,6.0,3.0,0.0,29.0,1.0,0.0,0.0,0.5,0.0,0.0,6.0,1.0,1.0,0
au.com.bytecode.opencsv.bean.MappingStrategy,3.0,1.0,0.0,10.0,3.0,3.0,2.0,8.0,3.0,2.0,3.0,0.0,0.0,0.0,0.555555555556,0.0,0.0,0.0,1.0,1.0,0
com.bea.xml.stream.AttributeBase,45.0,1.0,1.0,21.0,64.0,846.0,5.0,16.0,45.0,0.917613636364,431.0,1.0,0.0,0.0,0.207407407407,1.0,1.0,8.4,1.11111111111,3.0,0
com.bea.xml.stream.ConfigurationContextBase,28.0,1.0,0.0,18.0,42.0,240.0,6.0,12.0,27.0,0.820105820106,353.0,0.857142857143,0.0,0.0,0.232804232804,0.0,0.0,11.3571428571,1.28571428571,4.0,0
com.bea.xml.stream.EventFactory,28.0,2.0,0.0,33.0,57.0,378.0,1.0,32.0,28.0,1.0,353.0,1.0,0.0,0.526315789474,0.272321428571,0.0,0.0,11.5714285714,1.60714285714,5.0,0
com.bea.xml.stream.EventReaderFilter,13.0,1.0,0.0,18.0,38.0,32.0,1.0,17.0,13.0,0.375,220.0,1.0,0.0,0.0,0.276923076923,0.0,0.0,15.7692307692,1.15384615385,3.0,0
com.bea.xml.stream.EventScanner,31.0,1.0,0.0,22.0,65.0,419.0,1.0,21.0,24.0,0.383333333333,810.0,1.0,0.0,0.0,0.251612903226,0.0,0.0,25.0,1.06451612903,2.0,0
com.bea.xml.stream.EventState,21.0,1.0,0.0,11.0,35.0,86.0,2.0,9.0,21.0,0.791666666667,245.0,1.0,0.0,0.0,0.238095238095,0.0,0.0,10.380952381,1.2380952381,6.0,0
com.bea.xml.stream.MXParser,143.0,1.0,0.0,54.0,219.0,7173.0,5.0,51.0,91.0,0.933543005606,9713.0,0.902912621359,2.0,0.0,0.131241997439,0.0,0.0,66.2027972028,2.46153846154,11.0,0
com.bea.xml.stream.MXParserFactory,28.0,2.0,0.0,27.0,63.0,138.0,0.0,27.0,28.0,0.222222222222,263.0,0.0,1.0,0.509090909091,0.147959183673,0.0,0.0,8.35714285714,1.0,1.0,0
com.bea.xml.stream.NamespaceBase,9.0,0.0,0.0,10.0,15.0,16.0,4.0,6.0,9.0,0.5,86.0,0.0,0.0,0.0,0.611111111111,0.0,0.0,8.44444444444,1.22222222222,2.0,0
com.bea.xml.stream.ReadOnlyNamespaceContextBase,8.0,1.0,0.0,14.0,32.0,0.0,1.0,14.0,7.0,0.285714285714,419.0,1.0,0.0,0.0,0.4375,0.0,0.0,51.125,5.0,12.0,1
com.bea.xml.stream.ReaderDelegate,48.0,1.0,2.0,10.0,94.0,0.0,2.0,8.0,48.0,0.0,262.0,1.0,0.0,0.0,0.275,0.0,0.0,4.4375,1.0,1.0,0
com.bea.xml.stream.ReaderToWriter,6.0,1.0,1.0,16.0,45.0,3.0,2.0,14.0,6.0,0.2,202.0,1.0,0.0,0.0,0.416666666667,0.0,0.0,32.5,1.0,1.0,0
com.bea.xml.stream.StaticAllocator,17.0,1.0,0.0,35.0,68.0,110.0,1.0,34.0,17.0,0.802884615385,383.0,0.0,11.0,0.0,0.627450980392,0.0,0.0,20.7647058824,1.0,1.0,0
com.bea.xml.stream.StreamReaderFilter,6.0,0.0,0.0,23.0,30.0,13.0,1.0,22.0,6.0,0.4,134.0,1.0,0.0,0.0,0.416666666667,0.0,0.0,21.1666666667,1.0,1.0,0
com.bea.xml.stream.SubReader,13.0,0.0,0.0,15.0,47.0,72.0,1.0,15.0,13.0,0.291666666667,344.0,1.0,0.0,0.0,0.307692307692,0.0,0.0,25.3076923077,1.0,1.0,0
com.bea.xml.stream.XMLEventAllocatorBase,19.0,1.0,0.0,34.0,78.0,39.0,4.0,30.0,19.0,0.166666666667,404.0,0.0,0.0,0.0,0.59649122807,0.0,0.0,20.2105263158,1.31578947368,5.0,0
com.bea.xml.stream.XMLEventPlayer,2.0,0.0,0.0,8.0,11.0,0.0,0.0,8.0,1.0,0.0,51.0,1.0,1.0,0.0,0.75,0.0,0.0,24.0,1.0,1.0,0
com.bea.xml.stream.XMLEventReaderBase,20.0,1.0,1.0,27.0,56.0,140.0,3.0,24.0,15.0,0.701754385965,383.0,1.0,2.0,0.0,0.192857142857,0.0,0.0,17.85,1.2,3.0,0
