name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
com.carrotsearch.ant.tasks.junit4.BalancersList,2.0,1.0,0.0,5.0,4.0,0.0,1.0,4.0,2.0,0.0,15.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,6.0,1.0,1.0,0
com.carrotsearch.ant.tasks.junit4.DecodeEventStream,2.0,1.0,0.0,22.0,24.0,1.0,0.0,22.0,2.0,2.0,71.0,0.0,0.0,0.0,0.5,0.0,0.0,34.5,2.5,4.0,0
com.carrotsearch.ant.tasks.junit4.DecodeEventStream$1,1.0,1.0,0.0,5.0,3.0,0.0,1.0,4.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,0
com.carrotsearch.ant.tasks.junit4.DiagnosticsListener,5.0,1.0,0.0,12.0,16.0,0.0,1.0,12.0,4.0,0.5,70.0,1.0,1.0,0.0,0.333333333333,0.0,0.0,12.4,1.0,1.0,0
com.carrotsearch.ant.tasks.junit4.DuplicateResources,6.0,3.0,0.0,9.0,15.0,7.0,0.0,9.0,6.0,0.3,86.0,1.0,0.0,0.857142857143,0.444444444444,0.0,0.0,13.0,1.5,3.0,0
com.carrotsearch.ant.tasks.junit4.Duration,3.0,1.0,0.0,10.0,11.0,3.0,2.0,8.0,2.0,2.0,109.0,0.0,0.0,0.0,0.4,0.0,0.0,35.3333333333,2.66666666667,4.0,1
com.carrotsearch.ant.tasks.junit4.FormattingUtils,7.0,1.0,0.0,10.0,22.0,21.0,1.0,9.0,7.0,2.0,158.0,0.0,0.0,0.0,0.214285714286,0.0,0.0,21.5714285714,2.0,5.0,0
com.carrotsearch.ant.tasks.junit4.JUnit4,68.0,3.0,0.0,134.0,295.0,2154.0,13.0,128.0,50.0,0.968905472637,2788.0,0.694444444444,0.0,0.359223300971,0.0824140168722,2.0,3.0,39.4705882353,2.26470588235,19.0,5
com.carrotsearch.ant.tasks.junit4.JUnit4$1,2.0,1.0,0.0,6.0,7.0,0.0,1.0,6.0,1.0,0.5,29.0,0.0,1.0,0.0,0.625,0.0,0.0,12.5,1.5,2.0,1
com.carrotsearch.ant.tasks.junit4.JUnit4$2,3.0,1.0,0.0,7.0,4.0,1.0,1.0,7.0,2.0,0.0,30.0,0.0,3.0,0.0,0.5,0.0,0.0,8.0,1.0,1.0,0
com.carrotsearch.ant.tasks.junit4.JUnit4$3,3.0,1.0,0.0,13.0,9.0,0.0,2.0,13.0,2.0,0.833333333333,48.0,0.0,3.0,0.0,0.407407407407,0.0,0.0,13.0,1.0,1.0,2
com.carrotsearch.ant.tasks.junit4.JUnit4$3$1,3.0,0.0,0.0,14.0,17.0,0.0,1.0,14.0,2.0,0.25,90.0,0.0,2.0,0.0,0.5,0.0,0.0,28.3333333333,1.33333333333,2.0,0
com.carrotsearch.ant.tasks.junit4.JUnit4$ExtendedPropertySet,3.0,4.0,0.0,9.0,13.0,0.0,1.0,8.0,3.0,0.0,52.0,1.0,0.0,0.964285714286,0.666666666667,1.0,3.0,16.0,2.0,4.0,0
com.carrotsearch.ant.tasks.junit4.JUnit4$ExtendedVariable,4.0,2.0,0.0,7.0,12.0,0.0,1.0,6.0,4.0,0.0,41.0,1.0,0.0,0.727272727273,0.625,0.0,0.0,9.0,1.5,3.0,0
com.carrotsearch.ant.tasks.junit4.JUnit4$JvmOutputAction,4.0,2.0,0.0,7.0,7.0,4.0,1.0,6.0,2.0,0.933333333333,67.0,0.2,5.0,0.866666666667,0.444444444444,1.0,1.0,14.5,1.0,1.0,0
com.carrotsearch.ant.tasks.junit4.ListenersList,2.0,1.0,0.0,5.0,4.0,0.0,1.0,4.0,2.0,0.0,15.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,6.0,1.0,1.0,0
com.carrotsearch.ant.tasks.junit4.LocalSlaveStreamHandler,13.0,1.0,0.0,40.0,53.0,38.0,5.0,39.0,6.0,0.899122807018,381.0,0.947368421053,1.0,0.0,0.212962962963,0.0,0.0,26.8461538462,1.92307692308,9.0,0
com.carrotsearch.ant.tasks.junit4.LocalSlaveStreamHandler$1,4.0,2.0,0.0,5.0,7.0,0.0,1.0,5.0,3.0,0.5,35.0,0.0,1.0,0.625,0.5,1.0,1.0,7.25,1.0,1.0,0
