name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
com.ibm.icu.impl.Assert,5.0,1.0,0.0,16.0,11.0,10.0,10.0,6.0,5.0,2.0,51.0,0.0,0.0,0.0,0.3,0.0,0.0,9.2,1.4,2.0,0
com.ibm.icu.impl.BOCU,6.0,1.0,0.0,5.0,9.0,15.0,1.0,4.0,2.0,1.2,429.0,1.0,0.0,0.0,0.375,0.0,0.0,67.6666666667,4.16666666667,7.0,0
com.ibm.icu.impl.CalendarAstronomer,45.0,1.0,0.0,22.0,78.0,820.0,7.0,20.0,29.0,0.928758741259,1294.0,0.384615384615,9.0,0.0,0.172727272727,0.0,0.0,26.6,1.37777777778,5.0,7
com.ibm.icu.impl.CalendarAstronomer$1,2.0,1.0,0.0,4.0,4.0,0.0,1.0,4.0,1.0,0.0,13.0,1.0,1.0,0.0,0.75,0.0,0.0,5.0,1.0,1.0,0
com.ibm.icu.impl.CalendarAstronomer$2,2.0,1.0,0.0,5.0,4.0,0.0,1.0,5.0,1.0,0.0,13.0,1.0,1.0,0.0,0.75,0.0,0.0,5.0,1.0,1.0,0
com.ibm.icu.impl.CalendarAstronomer$3,2.0,1.0,0.0,4.0,4.0,0.0,1.0,4.0,1.0,0.0,13.0,1.0,1.0,0.0,0.75,0.0,0.0,5.0,1.0,1.0,0
com.ibm.icu.impl.CalendarAstronomer$4,2.0,1.0,0.0,5.0,4.0,0.0,1.0,5.0,1.0,0.0,13.0,1.0,1.0,0.0,0.75,0.0,0.0,5.0,1.0,1.0,0
com.ibm.icu.impl.CalendarAstronomer$AngleFunc,1.0,1.0,0.0,5.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
com.ibm.icu.impl.CalendarAstronomer$CoordFunc,1.0,1.0,0.0,5.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
com.ibm.icu.impl.CalendarAstronomer$Ecliptic,2.0,1.0,0.0,6.0,8.0,0.0,1.0,5.0,2.0,0.0,31.0,0.0,0.0,0.0,0.75,0.0,0.0,13.5,1.0,1.0,0
com.ibm.icu.impl.CalendarAstronomer$Equatorial,3.0,1.0,0.0,9.0,11.0,0.0,4.0,6.0,3.0,0.0,47.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,14.0,1.0,1.0,0
com.ibm.icu.impl.CalendarAstronomer$Horizon,2.0,1.0,0.0,6.0,8.0,0.0,1.0,5.0,2.0,0.0,31.0,0.0,0.0,0.0,0.75,0.0,0.0,13.5,1.0,1.0,0
com.ibm.icu.impl.CalendarAstronomer$MoonAge,1.0,1.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,0
com.ibm.icu.impl.CalendarAstronomer$SolarLongitude,1.0,1.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,0
com.ibm.icu.impl.CalendarCache,9.0,1.0,0.0,5.0,10.0,0.0,3.0,2.0,3.0,0.46875,317.0,0.875,0.0,0.0,0.583333333333,0.0,0.0,33.3333333333,2.0,4.0,2
com.ibm.icu.impl.CalendarData,10.0,1.0,0.0,15.0,19.0,25.0,7.0,8.0,10.0,0.0740740740741,230.0,1.0,1.0,0.0,0.525,0.0,0.0,21.7,1.6,4.0,0
com.ibm.icu.impl.CharTrie,16.0,0.0,0.0,23.0,31.0,0.0,13.0,12.0,10.0,0.577777777778,337.0,1.0,1.0,0.0,0.25,0.0,0.0,19.875,2.0,6.0,1
com.ibm.icu.impl.CharTrie$FriendAgent,4.0,1.0,0.0,4.0,7.0,0.0,2.0,3.0,4.0,0.0,23.0,1.0,1.0,0.0,0.625,0.0,0.0,4.5,1.0,1.0,0
com.ibm.icu.impl.CharacterIteratorWrapper,12.0,0.0,0.0,11.0,27.0,0.0,3.0,9.0,12.0,0.0,193.0,1.0,0.0,0.0,0.354166666667,0.0,0.0,15.0,1.75,4.0,0
com.ibm.icu.impl.DateNumberFormat,18.0,0.0,0.0,22.0,38.0,85.0,1.0,21.0,15.0,0.838235294118,374.0,1.0,1.0,0.0,0.154411764706,0.0,0.0,19.3333333333,2.38888888889,11.0,1
com.ibm.icu.impl.Grego,12.0,1.0,0.0,10.0,13.0,58.0,8.0,2.0,9.0,1.01818181818,589.0,0.4,0.0,0.0,0.254545454545,0.0,0.0,47.25,2.91666666667,10.0,0
