name,avg_func_loc,cyclomatic,cyclomaticDensity,dependencies,hal_bugs,hal_difficulty,hal_distinct_operands,hal_distinct_operators,hal_effort,hal_length,hal_time,hal_total_operands,hal_total_operators,hal_vocabulary,hal_volume,line,logical_loc,params,physical_loc
react/Gruntfile.js,6.72727272727,3,3.75,14,1.59467400947,17.7666666667,150,13,84996.1247047,651,4722.00692804,410,241,163,4784.0220284,1,80,10,218
react/gulpfile.js,1.25,1,0.990099009901,12,1.82058559486,16.5648854962,131,10,90473.3757447,765,5026.29865248,434,331,141,5461.75678459,10,101,1,284
eslint-rules/index.js,5.0,1,20.0,2,0.0273482341693,3.0,10,5,246.134107523,21,13.6741170846,12,9,15,82.0447025078,1,5,0,8
eslint-rules/no-primitive-constructors.js,5.66666666667,4,21.0526315789,0,0.114339600039,11.7142857143,21,12,4018.22022993,68,223.234457219,41,27,33,343.018800116,12,19,5,41
eslint-rules/warning-and-invariant-args.js,11.6666666667,12,31.5789473684,0,0.508,27.8666666667,45,19,42468.8,254,2359.37777778,132,122,64,1524.0,12,38,3,77
mocks/ReactElementTestChild.js,1.0,1,16.6666666667,1,0.0446599236472,5.33333333333,12,8,714.558778355,31,39.6977099086,16,15,20,133.979770942,12,6,0,11
src/ReactVersion.js,2.0,1,50.0,0,0.00516992500144,1.0,4,2,15.5097750043,6,0.861654166907,4,2,6,15.5097750043,12,2,0,3
_js/anchor-links.js,17.0,3,15.7894736842,0,0.253184966699,9.47368421053,38,10,7195.78326409,136,399.765736894,72,64,48,759.554900098,3,19,0,28
_js/html-jsx-lib.js,1.0,1,100.0,0,0.009,1.5,5,3,40.5,9,2.25,5,4,8,27.0,3,1,0,5
_js/jsfiddle-integration.js,5.0,3,42.8571428571,0,0.0729082750332,7.05882352941,17,10,1543.93994188,46,85.7744412155,24,22,27,218.7248251,1,7,0,10
js/codemirror.js,9.16359447005,2217,27.8657616893,0,199.547780007,320.145985401,2466,54,191653261.995,52981,10647403.4442,29240,23741,2520,598643.340022,11,7956,1297,8892
js/es5-sham.min.js,8.20833333333,60,30.1507537688,0,2.35740348455,64.0,116,29,452621.469035,985,25145.6371686,512,473,145,7072.21045366,1,199,22,1
js/es5-shim.min.js,11.86,220,36.974789916,0,11.7270019229,158.621848739,357,52,5580476.17553,4055,310026.454196,2178,1877,409,35181.0057686,1,595,55,1
js/html5shiv.min.js,8.1,24,28.9156626506,0,1.21759183255,42.5714285714,77,22,155503.871186,551,8639.10395479,298,253,99,3652.77549766,4,83,13,5
js/javascript.js,9.51136363636,260,30.989272944,1,12.433224383,98.3565891473,387,32,3668668.62725,4282,203814.923736,2379,1903,419,37299.6731491,4,839,134,743
js/jsfiddle-integration-babel.js,5.0,3,42.8571428571,0,0.0729082750332,7.05882352941,17,10,1543.93994188,46,85.7744412155,24,22,27,218.7248251,1,7,0,10
js/jsx.js,8.69230769231,27,23.4782608696,3,1.60117389332,57.1704545455,88,26,274619.517862,703,15256.6398812,387,316,114,4803.52167996,4,115,23,144
js/react-dom.js,9.54219409283,2005,22.1595932803,2,195.404390661,184.962805791,4006,54,108427633.082,48903,6023757.39343,27443,21460,4060,586213.171982,5,9048,1682,18223
js/react.js,8.57009345794,414,22.5490196078,0,35.5077270635,108.52722323,1102,41,11560665.0643,10486,642259.170239,5834,4652,1143,106523.181191,4,1836,397,3745
js/remarkable.min.js,13.0632183908,644,14.1600703606,0,113.076380646,85.8076514346,4705,50,29108455.9678,27771,1617136.44265,16149,11622,4755,339229.141937,2,4548,529,3
js/xml.js,14.6071428571,88,21.4111922141,1,4.80949794422,60.5089285714,224,27,873052.702713,1810,48502.9279285,1004,806,251,14428.4938327,4,411,59,391
__tests__/no-primitive-constructors-test.js,16.0,1,6.25,2,0.135,7.66666666667,24,8,3105.0,81,172.5,46,35,32,405.0,12,16,0,39
__tests__/warning-and-invariant-args-test.js,31.0,1,3.22580645161,2,0.306937471478,10.4625,40,9,9633.99988603,164,535.22221589,93,71,49,920.812414435,12,31,0,91
packaging/build-all.js,13.0,1,7.69230769231,3,0.121036634692,6.08695652174,23,7,2210.23419872,74,122.790788818,40,34,30,363.109904075,1,13,0,30
config/browserify.js,4.8,7,4.57516339869,7,1.78180049372,30.5391304348,115,16,163243.91306,760,9069.10628109,439,321,131,5345.40148117,3,153,6,312
config/compare_size.js,1.0,1,11.1111111111,1,0.0689397825327,6.35294117647,17,9,1313.91114945,44,72.9950638582,24,20,26,206.819347598,1,9,1,17
config/npm.js,2.0,1,50.0,0,0.00655049481813,1.5,4,3,29.4772266816,7,1.63762370453,4,3,7,19.6514844544,1,2,0,3
tasks/browserify.js,5.16666666667,6,17.1428571429,2,0.429747738705,14.875,44,11,19177.4928397,223,1065.41626887,119,104,55,1289.24321612,1,35,5,69
tasks/jest.js,5.5,3,9.67741935484,2,0.322773115869,9.83653846154,52,11,9524.91050579,162,529.161694766,93,69,63,968.319347607,1,31,5,51
