name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
SimpleCLI,9.0,5.0,0.0,40.0,61.0,26.0,4.0,40.0,5.0,0.775,666.0,1.0,0.0,0.988505747126,0.203703703704,0.0,0.0,71.8888888889,1.66666666667,3.0,7
SimpleCLI$1,3.0,2.0,0.0,5.0,5.0,1.0,1.0,5.0,3.0,0.5,19.0,1.0,1.0,0.6,0.666666666667,0.0,0.0,5.0,1.0,1.0,0
SimpleCLI$2,4.0,2.0,0.0,7.0,7.0,4.0,1.0,7.0,4.0,0.666666666667,22.0,1.0,1.0,0.769230769231,0.666666666667,0.0,0.0,4.25,1.0,1.0,0
SimpleCLI$ClassRunner,2.0,2.0,0.0,13.0,17.0,0.0,1.0,13.0,2.0,0.0,117.0,0.666666666667,1.0,0.984615384615,0.625,0.0,0.0,56.0,3.5,6.0,0
SimpleCLI$ReaderToTextArea,2.0,2.0,0.0,10.0,11.0,0.0,1.0,10.0,2.0,0.333333333333,47.0,1.0,1.0,0.984615384615,0.625,1.0,1.0,21.0,1.0,1.0,1
simplecli.SimpleCLI$StreamRedirector,2.0,1.0,0.0,11.0,11.0,0.0,0.0,11.0,2.0,0.0,52.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,24.0,1.0,1.0,0
weka.associations.Apriori,23.0,1.0,0.0,22.0,73.0,47.0,0.0,22.0,20.0,0.719696969697,1298.0,1.0,4.0,0.0,0.278260869565,0.0,0.0,54.9130434783,1.4347826087,7.0,1
weka.associations.ItemSet,19.0,1.0,0.0,17.0,55.0,0.0,1.0,16.0,18.0,0.361111111111,1237.0,1.0,0.0,0.0,0.210526315789,1.0,1.0,64.0,3.78947368421,11.0,3
weka.attributeSelection.ASEvaluation,5.0,1.0,2.0,26.0,10.0,10.0,15.0,11.0,4.0,1.0,34.0,0.0,0.0,0.0,0.32,0.0,0.0,5.6,1.0,1.0,0
weka.attributeSelection.ASSearch,4.0,1.0,2.0,16.0,9.0,6.0,4.0,12.0,3.0,1.0,31.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,6.5,1.0,1.0,0
weka.attributeSelection.AttributeEvaluator,2.0,0.0,6.0,13.0,3.0,1.0,9.0,4.0,2.0,2.0,5.0,0.0,0.0,0.0,0.75,0.0,0.0,1.5,1.0,1.0,0
weka.attributeSelection.AttributeSelection,7.0,1.0,0.0,36.0,68.0,21.0,8.0,28.0,5.0,2.0,1610.0,0.0,0.0,0.0,0.285714285714,0.0,0.0,229.0,1.71428571429,5.0,5
weka.attributeSelection.BestFirst,13.0,0.0,0.0,24.0,50.0,24.0,2.0,24.0,10.0,0.677083333333,780.0,1.0,0.0,0.0,0.241758241758,0.0,0.0,58.3846153846,2.23076923077,10.0,1
